# Relative energy hierarchy for Ac-Cys-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -614516.7679789   0.000000
   2  -614516.7573726   0.010606
   3  -614516.6802614   0.087718
   4  -614516.6518711   0.116108
   5  -614516.6497523   0.118227
   6  -614516.2172958   0.550683
   7  -614516.1882278   0.579751
   8  -614516.1009226   0.667056
   9  -614516.0624192   0.705560
  10  -614516.0486087   0.719370
  11  -614516.0485530   0.719426
  12  -614516.0423774   0.725602
  13  -614516.0316278   0.736351
  14  -614516.0267168   0.741262
  15  -614516.0063827   0.761596
  16  -614515.9961028   0.771876
  17  -614515.9764581   0.791521
  18  -614515.9685052   0.799474
  19  -614515.9532487   0.814730
  20  -614515.9439017   0.824077
  21  -614515.9013509   0.866628
  22  -614515.8963723   0.871607
  23  -614515.8962557   0.871723
  24  -614515.8914702   0.876509
  25  -614515.8881376   0.879841
  26  -614515.8811539   0.886825
  27  -614515.8511017   0.916877
  28  -614515.8495902   0.918389
  29  -614515.8448828   0.923096
  30  -614515.8369546   0.931024
  31  -614515.8367121   0.931267
  32  -614515.8292191   0.938760
  33  -614515.8158875   0.952091
  34  -614515.7727774   0.995202
  35  -614515.6710435   1.096935
  36  -614515.5424574   1.225521
  37  -614515.5355442   1.232435
  38  -614515.5183846   1.249594
  39  -614515.4929274   1.275051
  40  -614515.4928282   1.275151
  41  -614515.4893724   1.278607
  42  -614515.4218501   1.346129
  43  -614515.4007182   1.367261
  44  -614515.3989055   1.369073
  45  -614515.3538022   1.414177
  46  -614515.3467857   1.421193
  47  -614515.3422963   1.425683
  48  -614515.3015393   1.466440
  49  -614515.2655836   1.502395
  50  -614515.2298080   1.538171
  51  -614515.2127624   1.555216
  52  -614515.2052061   1.562773
  53  -614515.1497112   1.618268
  54  -614515.1397840   1.628195
  55  -614514.9634313   1.804548
  56  -614514.6333583   2.134621
  57  -614514.5680575   2.199921
