# Relative energy hierarchy for Ac-Cys-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -111564.0878141   0.000000
   2  -111564.0678539   0.019960
   3  -111564.0654206   0.022393
   4  -111564.0468018   0.041012
   5  -111564.0049720   0.082842
   6  -111563.9683673   0.119447
   7  -111563.9675065   0.120308
   8  -111563.7563630   0.331451
   9  -111563.7283383   0.359476
  10  -111563.6375121   0.450302
  11  -111563.6137888   0.474025
  12  -111563.6020024   0.485812
  13  -111563.5942900   0.493524
  14  -111563.5926859   0.495128
  15  -111563.5911192   0.496695
  16  -111563.5878177   0.499996
  17  -111563.5813434   0.506471
  18  -111563.5692136   0.518600
  19  -111563.5689095   0.518905
  20  -111563.5371118   0.550702
  21  -111563.5347884   0.553026
  22  -111563.5183048   0.569509
  23  -111563.4891833   0.598631
  24  -111563.4755775   0.612237
  25  -111563.4609859   0.626828
  26  -111563.4558770   0.631937
  27  -111563.4444445   0.643370
  28  -111563.4433212   0.644493
  29  -111563.4396747   0.648139
  30  -111563.4364686   0.651345
  31  -111563.4157175   0.672097
  32  -111563.4122033   0.675611
  33  -111563.4023027   0.685511
  34  -111563.4010506   0.686763
  35  -111563.3840500   0.703764
  36  -111563.3711918   0.716622
  37  -111563.3134871   0.774327
  38  -111563.1386520   0.949162
  39  -111563.0920929   0.995721
  40  -111563.0149977   1.072816
  41  -111562.9681345   1.119680
  42  -111562.9316267   1.156187
  43  -111562.9246236   1.163190
  44  -111562.8808050   1.207009
  45  -111562.8763695   1.211445
  46  -111562.8744069   1.213407
  47  -111562.8633246   1.224490
  48  -111562.8421263   1.245688
  49  -111562.8390592   1.248755
  50  -111562.8273679   1.260446
  51  -111562.8157769   1.272037
  52  -111562.7997548   1.288059
  53  -111562.7939164   1.293898
  54  -111562.7863018   1.301512
  55  -111562.7700192   1.317795
  56  -111562.7689802   1.318834
  57  -111562.7687632   1.319051
  58  -111562.7570698   1.330744
  59  -111562.6093457   1.478468
  60  -111562.4722631   1.615551
  61  -111562.1959230   1.891891
  62  -111562.1537007   1.934113
