# Relative energy hierarchy for Cys conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -244827.2328893   0.000000
   2  -244827.2252440   0.007645
   3  -244827.2109113   0.021978
   4  -244827.1713432   0.061546
   5  -244827.1565124   0.076377
   6  -244827.1400988   0.092790
   7  -244827.1334016   0.099488
   8  -244827.0777985   0.155091
   9  -244827.0216581   0.211231
  10  -244826.9513009   0.281588
  11  -244826.9149853   0.317904
  12  -244826.9100726   0.322817
  13  -244826.9013242   0.331565
  14  -244826.8664095   0.366480
  15  -244826.8614594   0.371430
  16  -244826.8613637   0.371526
  17  -244826.7730321   0.459857
  18  -244826.7715276   0.461362
  19  -244826.4812652   0.751624
  20  -244826.4543388   0.778551
  21  -244826.3868768   0.846012
  22  -244826.3677673   0.865122
  23  -244826.3576569   0.875232
  24  -244826.0369690   1.195920
