# Relative energy hierarchy for Cys conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -573086.7711601   0.000000
   2  -573086.4716719   0.299488
   3  -573086.4432107   0.327949
   4  -573086.4308579   0.340302
   5  -573086.3958649   0.375295
   6  -573086.3287985   0.442362
   7  -573086.2893801   0.481780
   8  -573086.2137923   0.557368
   9  -573086.1971594   0.574001
  10  -573086.1658624   0.605298
  11  -573086.1353725   0.635788
  12  -573086.1345098   0.636650
  13  -573086.1190745   0.652086
  14  -573086.1118317   0.659328
  15  -573086.0971088   0.674051
  16  -573086.0439344   0.727226
  17  -573086.0253358   0.745824
  18  -573086.0134908   0.757669
  19  -573085.6594423   1.111718
  20  -573085.6308543   1.140306
  21  -573085.5700265   1.201134
