# Relative energy hierarchy for Cys conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -609832.8624348   0.000000
   2  -609832.6080465   0.254388
   3  -609832.5703758   0.292059
   4  -609832.4031443   0.459291
   5  -609832.3979119   0.464523
   6  -609832.3908190   0.471616
   7  -609832.3874074   0.475027
   8  -609832.3446058   0.517829
   9  -609832.3308880   0.531547
  10  -609832.3305058   0.531929
  11  -609832.3188867   0.543548
  12  -609832.1445025   0.717932
  13  -609832.1304754   0.731959
  14  -609832.0043329   0.858102
  15  -609831.9254655   0.936969
  16  -609831.7315233   1.130911
  17  -609831.6758795   1.186555
  18  -609831.6467740   1.215661
  19  -609831.6460641   1.216371
  20  -609831.3241166   1.538318
