# Relative energy hierarchy for Cys conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -106879.9440086   0.000000
   2  -106879.9311871   0.012822
   3  -106879.9179387   0.026070
   4  -106879.9021801   0.041828
   5  -106879.8698987   0.074110
   6  -106879.8552876   0.088721
   7  -106879.8543959   0.089613
   8  -106879.8115940   0.132415
   9  -106879.7495762   0.194432
  10  -106879.7314398   0.212569
  11  -106879.6958191   0.248189
  12  -106879.5887415   0.355267
  13  -106879.5797307   0.364278
  14  -106879.5559463   0.388062
  15  -106879.5500056   0.394003
  16  -106879.4523488   0.491660
  17  -106879.4482935   0.495715
  18  -106879.1712402   0.772768
  19  -106879.1203226   0.823686
  20  -106879.1010966   0.842912
  21  -106879.0786297   0.865379
  22  -106879.0368428   0.907166
  23  -106878.7577187   1.186290
