# Relative energy hierarchy for Cys conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -19690.633937   0.000000
   2  -19690.584095   0.049842
   3  -19690.547980   0.085957
   4  -19690.546542   0.087395
   5  -19690.545170   0.088767
   6  -19690.528933   0.105004
   7  -19690.505352   0.128585
   8  -19690.504351   0.129586
   9  -19690.499864   0.134073
  10  -19690.492773   0.141164
  11  -19690.482956   0.150981
  12  -19690.477765   0.156172
  13  -19690.472120   0.161817
  14  -19690.468223   0.165714
  15  -19690.466955   0.166982
  16  -19690.449227   0.184710
  17  -19690.446066   0.187871
  18  -19690.445398   0.188539
  19  -19690.443174   0.190763
  20  -19690.439890   0.194047
  21  -19690.427956   0.205981
  22  -19690.422997   0.210940
  23  -19690.422665   0.211272
  24  -19690.419060   0.214877
  25  -19690.418131   0.215806
  26  -19690.411630   0.222307
  27  -19690.409298   0.224639
  28  -19690.408905   0.225032
  29  -19690.406139   0.227798
  30  -19690.402938   0.230999
  31  -19690.400632   0.233305
  32  -19690.398941   0.234996
  33  -19690.398401   0.235536
  34  -19690.394070   0.239867
  35  -19690.388614   0.245323
  36  -19690.387576   0.246361
  37  -19690.387399   0.246538
  38  -19690.384149   0.249788
  39  -19690.381999   0.251938
  40  -19690.378702   0.255235
  41  -19690.377956   0.255981
  42  -19690.368514   0.265423
  43  -19690.359515   0.274422
  44  -19690.359121   0.274816
  45  -19690.355701   0.278236
  46  -19690.350747   0.283190
  47  -19690.350176   0.283761
  48  -19690.348990   0.284947
  49  -19690.342406   0.291531
  50  -19690.317975   0.315962
  51  -19690.317789   0.316148
  52  -19690.312821   0.321116
  53  -19690.310862   0.323075
  54  -19690.310246   0.323691
  55  -19690.276371   0.357566
  56  -19690.270284   0.363653
  57  -19690.261244   0.372693
  58  -19690.246968   0.386969
  59  -19690.220366   0.413571
  60  -19690.186734   0.447203
  61  -19690.174612   0.459325
