# Relative energy hierarchy for Ac-Gln-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -244295.781503   0.000000
   2  -244295.681026   0.100477
   3  -244295.645099   0.136404
   4  -244295.593319   0.188184
   5  -244295.554575   0.226928
   6  -244295.52566   0.255843
   7  -244295.508046   0.273457
   8  -244295.437425   0.344078
   9  -244295.420865   0.360638
  10  -244295.372417   0.409086
  11  -244295.298708   0.482795
  12  -244295.230568   0.550935
  13  -244295.179806   0.601697
  14  -244295.179456   0.602047
  15  -244295.112878   0.668625
  16  -244295.075702   0.705801
  17  -244295.032244   0.749259
  18  -244294.980658   0.800845
  19  -244294.97718   0.804323
  20  -244294.970758   0.810745
  21  -244294.937677   0.843826
  22  -244294.93753   0.843973
  23  -244294.885716   0.895787
  24  -244294.869644   0.911859
  25  -244294.868253   0.913250
  26  -244294.85682   0.924683
  27  -244294.852758   0.928745
  28  -244294.849315   0.932188
  29  -244294.837501   0.944002
  30  -244294.798765   0.982738
  31  -244294.79172   0.989783
  32  -244294.790121   0.991382
  33  -244294.783208   0.998295
  34  -244294.78089   1.000613
  35  -244294.772042   1.009461
  36  -244294.771849   1.009654
  37  -244294.75967   1.021833
  38  -244294.755097   1.026406
  39  -244294.752849   1.028654
  40  -244294.751608   1.029895
  41  -244294.736292   1.045211
  42  -244294.725911   1.055592
  43  -244294.721976   1.059527
  44  -244294.719722   1.061781
  45  -244294.689661   1.091842
  46  -244294.687258   1.094245
  47  -244294.674748   1.106755
  48  -244294.672009   1.109494
  49  -244294.67142   1.110083
  50  -244294.669236   1.112267
  51  -244294.633874   1.147629
  52  -244294.63339   1.148113
  53  -244294.622428   1.159075
  54  -244294.601364   1.180139
  55  -244294.592722   1.188781
  56  -244294.587089   1.194414
  57  -244294.458477   1.323026
