# Relative energy hierarchy for Ac-Gln-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -37703.199984   0.000000
   2  -37703.0877881   0.112196
   3  -37703.0640651   0.135919
   4  -37703.0578404   0.142144
   5  -37702.9668644   0.233120
   6  -37702.9595864   0.240398
   7  -37702.7861379   0.413846
   8  -37702.6872716   0.512712
   9  -37702.686048   0.513936
  10  -37702.6261456   0.573838
  11  -37702.5763465   0.623638
  12  -37702.5707962   0.629188
  13  -37702.5057088   0.694275
  14  -37702.4505424   0.749442
  15  -37702.4471042   0.752880
  16  -37702.3815138   0.818470
  17  -37702.1866922   1.013292
  18  -37702.0884835   1.111500
  19  -37702.087995   1.111989
  20  -37702.0862996   1.113684
  21  -37702.0846827   1.115301
  22  -37702.0476023   1.152382
  23  -37702.0419789   1.158005
  24  -37702.0260424   1.173942
  25  -37702.0117392   1.188245
  26  -37702.0029959   1.196988
  27  -37701.9988083   1.201176
  28  -37701.9984621   1.201522
  29  -37701.9885119   1.211472
  30  -37701.9664842   1.233500
  31  -37701.9454129   1.254571
  32  -37701.9317547   1.268229
  33  -37701.928988   1.270996
  34  -37701.9171431   1.282841
  35  -37701.906369   1.293615
  36  -37701.8975234   1.302461
  37  -37701.8961475   1.303836
  38  -37701.8912911   1.308693
  39  -37701.8894515   1.310532
  40  -37701.8887177   1.311266
  41  -37701.864504   1.335480
  42  -37701.8328783   1.367106
  43  -37701.8324083   1.367576
  44  -37701.8214997   1.378484
  45  -37701.8193373   1.380647
  46  -37701.8155943   1.384390
  47  -37701.7973918   1.402592
  48  -37701.7971503   1.402834
  49  -37701.7959373   1.404047
  50  -37701.7881463   1.411838
  51  -37701.7867759   1.413208
  52  -37701.7566179   1.443366
  53  -37701.7490151   1.450969
  54  -37701.7488477   1.451136
  55  -37701.7279495   1.472035
  56  -37701.7263306   1.473653
  57  -37701.6987323   1.501252
  58  -37701.6946641   1.505320
  59  -37701.6627992   1.537185
  60  -37701.648011   1.551973
  61  -37701.5894614   1.610523
