# Relative energy hierarchy for Ac-Gln-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -173276.60935   0.000000
   2  -173276.493254   0.116096
   3  -173276.471299   0.138051
   4  -173276.364715   0.244635
   5  -173276.264561   0.344789
   6  -173276.013602   0.595748
   7  -173275.91335   0.696000
   8  -173275.899139   0.710211
   9  -173275.861711   0.747639
  10  -173275.831548   0.777802
  11  -173275.821904   0.787446
  12  -173275.774977   0.834373
  13  -173275.774696   0.834654
  14  -173275.746902   0.862448
  15  -173275.720226   0.889124
  16  -173275.641332   0.968018
  17  -173275.632062   0.977288
  18  -173275.629428   0.979922
  19  -173275.532736   1.076614
  20  -173275.512573   1.096777
  21  -173275.505139   1.104211
  22  -173275.502504   1.106846
  23  -173275.491276   1.118074
  24  -173275.460189   1.149161
  25  -173275.452443   1.156907
  26  -173275.447452   1.161898
  27  -173275.433592   1.175758
  28  -173275.431722   1.177628
  29  -173275.429457   1.179893
  30  -173275.407222   1.202128
  31  -173275.406266   1.203084
  32  -173275.391702   1.217648
  33  -173275.375402   1.233948
  34  -173275.352601   1.256749
  35  -173275.340407   1.268943
  36  -173275.325459   1.283891
  37  -173275.289854   1.319496
  38  -173275.273667   1.335683
  39  -173275.268555   1.340795
  40  -173275.249847   1.359503
  41  -173275.233433   1.375917
  42  -173275.166656   1.442694
  43  -173275.165868   1.443482
  44  -173275.165265   1.444085
  45  -173275.087238   1.522112
  46  -173275.083244   1.526106
  47  -173275.064462   1.544888
  48  -173275.039069   1.570281
