# Relative energy hierarchy for Ac-Gln-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -572554.905873   0.000000
   2  -572554.782862   0.123011
   3  -572554.730576   0.175297
   4  -572554.67673   0.229143
   5  -572554.619178   0.286695
   6  -572554.562297   0.343576
   7  -572554.506916   0.398957
   8  -572554.468888   0.436985
   9  -572554.426074   0.479799
  10  -572554.394452   0.511421
  11  -572554.372104   0.533769
  12  -572554.321615   0.584258
  13  -572554.296719   0.609154
  14  -572554.259478   0.646395
  15  -572554.258676   0.647197
  16  -572554.256042   0.649831
  17  -572554.238228   0.667645
  18  -572554.165247   0.740626
  19  -572554.163722   0.742151
  20  -572554.157233   0.748640
  21  -572554.132108   0.773765
  22  -572554.112238   0.793635
  23  -572554.059807   0.846066
  24  -572554.051397   0.854476
  25  -572554.048574   0.857299
  26  -572554.040938   0.864935
  27  -572554.014014   0.891859
  28  -572554.013234   0.892639
  29  -572553.983719   0.922154
  30  -572553.978987   0.926886
  31  -572553.973899   0.931974
  32  -572553.952878   0.952995
  33  -572553.948358   0.957515
  34  -572553.937382   0.968491
  35  -572553.936611   0.969262
  36  -572553.917369   0.988504
  37  -572553.87165   1.034223
  38  -572553.862123   1.043750
  39  -572553.852488   1.053385
  40  -572553.813714   1.092159
  41  -572553.791215   1.114658
  42  -572553.761826   1.144047
  43  -572553.727169   1.178704
  44  -572553.710217   1.195656
  45  -572553.703628   1.202245
  46  -572553.687627   1.218246
  47  -572553.600123   1.305750
  48  -572553.570557   1.335316
