# Relative energy hierarchy for Ac-Gln-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -609301.178397   0.000000
   2  -609301.073069   0.105328
   3  -609301.067434   0.110963
   4  -609301.057938   0.120459
   5  -609300.988005   0.190392
   6  -609300.95969   0.218707
   7  -609300.839475   0.338922
   8  -609300.745809   0.432588
   9  -609300.741226   0.437171
  10  -609300.683031   0.495366
  11  -609300.61487   0.563527
  12  -609300.542142   0.636255
  13  -609300.474815   0.703582
  14  -609300.457674   0.720723
  15  -609300.457602   0.720795
  16  -609300.39685   0.781547
  17  -609300.391851   0.786546
  18  -609300.376307   0.802090
  19  -609300.374759   0.803638
  20  -609300.370584   0.807813
  21  -609300.351412   0.826985
  22  -609300.323402   0.854995
  23  -609300.322042   0.856355
  24  -609300.232347   0.946050
  25  -609300.186245   0.992152
  26  -609300.179202   0.999195
  27  -609300.151433   1.026964
  28  -609300.137758   1.040639
  29  -609300.123038   1.055359
  30  -609300.122904   1.055493
  31  -609300.107707   1.070690
  32  -609300.102626   1.075771
  33  -609300.101019   1.077378
  34  -609300.095939   1.082458
  35  -609300.090326   1.088071
  36  -609300.082714   1.095683
  37  -609300.061439   1.116958
  38  -609300.059549   1.118848
  39  -609300.041426   1.136971
  40  -609300.036622   1.141775
  41  -609300.010822   1.167575
  42  -609300.00366   1.174737
  43  -609299.984376   1.194021
  44  -609299.983021   1.195376
  45  -609299.968006   1.210391
  46  -609299.958502   1.219895
  47  -609299.955597   1.222800
  48  -609299.949013   1.229384
  49  -609299.940468   1.237929
  50  -609299.923892   1.254505
  51  -609299.922624   1.255773
  52  -609299.921544   1.256853
  53  -609299.914815   1.263582
  54  -609299.89781   1.280587
  55  -609299.875428   1.302969
  56  -609299.822974   1.355423
  57  -609299.817918   1.360479
  58  -609299.737429   1.440968
