# Relative energy hierarchy for Ac-Gln-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -106348.797423   0.000000
   2  -106348.690741   0.106682
   3  -106348.656431   0.140992
   4  -106348.622776   0.174647
   5  -106348.564467   0.232956
   6  -106348.530729   0.266694
   7  -106348.46856   0.328863
   8  -106348.374653   0.422770
   9  -106348.367279   0.430144
  10  -106348.31318   0.484243
  11  -106348.24404   0.553383
  12  -106348.174999   0.622424
  13  -106348.12209   0.675333
  14  -106348.120391   0.677032
  15  -106348.054061   0.743362
  16  -106347.902907   0.894516
  17  -106347.838713   0.958710
  18  -106347.805162   0.992261
  19  -106347.800347   0.997076
  20  -106347.791802   1.005621
  21  -106347.765098   1.032325
  22  -106347.749381   1.048042
  23  -106347.740374   1.057049
  24  -106347.714631   1.082792
  25  -106347.712617   1.084806
  26  -106347.70945   1.087973
  27  -106347.69947   1.097953
  28  -106347.693508   1.103915
  29  -106347.667059   1.130364
  30  -106347.662882   1.134541
  31  -106347.645798   1.151625
  32  -106347.639608   1.157815
  33  -106347.627469   1.169954
  34  -106347.62431   1.173113
  35  -106347.612517   1.184906
  36  -106347.609315   1.188108
  37  -106347.606163   1.191260
  38  -106347.600899   1.196524
  39  -106347.591809   1.205614
  40  -106347.573429   1.223994
  41  -106347.570342   1.227081
  42  -106347.554933   1.242490
  43  -106347.546448   1.250975
  44  -106347.53562   1.261803
  45  -106347.531806   1.265617
  46  -106347.527677   1.269746
  47  -106347.522524   1.274899
  48  -106347.522395   1.275028
  49  -106347.51225   1.285173
  50  -106347.492036   1.305387
  51  -106347.486061   1.311362
  52  -106347.468351   1.329072
  53  -106347.450136   1.347287
  54  -106347.444281   1.353142
  55  -106347.426801   1.370622
  56  -106347.407075   1.390348
  57  -106347.406664   1.390759
  58  -106347.309529   1.487894
