# Relative energy hierarchy for Ac-Gln-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -19156.9750716   0.000000
   2  -19156.9684591   0.006613
   3  -19156.9588949   0.016177
   4  -19156.9495572   0.025514
   5  -19156.9493429   0.025729
   6  -19156.9271855   0.047886
   7  -19156.9162064   0.058865
   8  -19156.9004005   0.074671
   9  -19156.8679364   0.107135
  10  -19156.8567569   0.118315
  11  -19156.8411593   0.133912
  12  -19156.8230623   0.152009
  13  -19156.8229734   0.152098
  14  -19156.8224793   0.152592
  15  -19156.8085902   0.166481
  16  -19156.8059702   0.169101
  17  -19156.800905   0.174167
  18  -19156.7937645   0.181307
  19  -19156.7821412   0.192930
  20  -19156.7812589   0.193813
  21  -19156.7793451   0.195727
  22  -19156.7783398   0.196732
  23  -19156.7727998   0.202272
  24  -19156.7614968   0.213575
  25  -19156.7510382   0.224033
  26  -19156.7431179   0.231954
  27  -19156.7424839   0.232588
  28  -19156.7412667   0.233805
  29  -19156.7370735   0.237998
  30  -19156.733887   0.241185
  31  -19156.7266133   0.248458
  32  -19156.7261813   0.248890
  33  -19156.7259747   0.249097
  34  -19156.7245607   0.250511
  35  -19156.7163976   0.258674
  36  -19156.7125117   0.262560
  37  -19156.6992272   0.275844
  38  -19156.698877   0.276195
  39  -19156.6962722   0.278799
  40  -19156.6908096   0.284262
  41  -19156.6891373   0.285934
  42  -19156.6891118   0.285960
  43  -19156.6889503   0.286121
  44  -19156.685467   0.289605
  45  -19156.6829341   0.292138
  46  -19156.6821927   0.292879
  47  -19156.6746874   0.300384
  48  -19156.6745632   0.300508
  49  -19156.6727314   0.302340
  50  -19156.6725306   0.302541
  51  -19156.6638397   0.311232
  52  -19156.6608845   0.314187
  53  -19156.6549836   0.320088
  54  -19156.6542582   0.320813
  55  -19156.652931   0.322141
  56  -19156.6526299   0.322442
  57  -19156.651024   0.324048
  58  -19156.6496292   0.325442
  59  -19156.6494409   0.325631
  60  -19156.6469502   0.328121
  61  -19156.646798   0.328274
  62  -19156.6406885   0.334383
  63  -19156.6403112   0.334760
  64  -19156.6334475   0.341624
  65  -19156.6332658   0.341806
  66  -19156.6323115   0.342760
  67  -19156.631059   0.344013
  68  -19156.6296551   0.345417
  69  -19156.6292039   0.345868
  70  -19156.6263432   0.348728
  71  -19156.626171   0.348901
  72  -19156.6222305   0.352841
  73  -19156.622093   0.352979
  74  -19156.6196102   0.355461
  75  -19156.6184244   0.356647
  76  -19156.6141671   0.360905
  77  -19156.6126272   0.362444
  78  -19156.6116756   0.363396
  79  -19156.6115678   0.363504
  80  -19156.6112116   0.363860
  81  -19156.6100096   0.365062
  82  -19156.6085696   0.366502
  83  -19156.608191   0.366881
  84  -19156.6022884   0.372783
  85  -19156.5986448   0.376427
  86  -19156.5970368   0.378035
  87  -19156.5945733   0.380498
  88  -19156.5928205   0.382251
  89  -19156.5903735   0.384698
  90  -19156.5893003   0.385771
  91  -19156.5890413   0.386030
  92  -19156.5848352   0.390236
  93  -19156.5809585   0.394113
  94  -19156.5799818   0.395090
  95  -19156.5781978   0.396874
  96  -19156.5741085   0.400963
  97  -19156.5734534   0.401618
  98  -19156.5721284   0.402943
  99  -19156.5646687   0.410403
 100  -19156.5629598   0.412112
 101  -19156.5611214   0.413950
 102  -19156.5607733   0.414298
 103  -19156.5603446   0.414727
 104  -19156.5590936   0.415978
 105  -19156.5575221   0.417550
 106  -19156.5567725   0.418299
 107  -19156.5526841   0.422388
 108  -19156.5502973   0.424774
 109  -19156.5492258   0.425846
 110  -19156.5467462   0.428325
 111  -19156.5461066   0.428965
 112  -19156.5443962   0.430675
 113  -19156.5422364   0.432835
 114  -19156.5421549   0.432917
 115  -19156.5399751   0.435097
 116  -19156.5395991   0.435473
 117  -19156.538982   0.436090
 118  -19156.5388893   0.436182
 119  -19156.5388504   0.436221
 120  -19156.5388337   0.436238
 121  -19156.5376457   0.437426
 122  -19156.534572   0.440500
 123  -19156.5330552   0.442016
 124  -19156.5305847   0.444487
 125  -19156.527846   0.447226
 126  -19156.5270603   0.448011
 127  -19156.5264425   0.448629
 128  -19156.5250929   0.449979
 129  -19156.5242454   0.450826
 130  -19156.5145387   0.460533
 131  -19156.5097877   0.465284
 132  -19156.5097516   0.465320
 133  -19156.50766   0.467412
 134  -19156.5075186   0.467553
 135  -19156.5072329   0.467839
 136  -19156.5056979   0.469374
 137  -19156.5016058   0.473466
 138  -19156.4980242   0.477047
 139  -19156.4939113   0.481160
 140  -19156.493595   0.481477
 141  -19156.491408   0.483664
 142  -19156.4906253   0.484446
 143  -19156.4892012   0.485870
 144  -19156.4888121   0.486260
 145  -19156.4867983   0.488273
 146  -19156.4849799   0.490092
 147  -19156.4833062   0.491765
 148  -19156.4805608   0.494511
 149  -19156.4791807   0.495891
 150  -19156.4740817   0.500990
 151  -19156.4719592   0.503112
 152  -19156.4689531   0.506119
 153  -19156.4654333   0.509638
 154  -19156.4653428   0.509729
 155  -19156.4649529   0.510119
 156  -19156.4624923   0.512579
 157  -19156.4624789   0.512593
 158  -19156.4604636   0.514608
 159  -19156.4601433   0.514928
 160  -19156.4585109   0.516561
 161  -19156.4582374   0.516834
 162  -19156.4576325   0.517439
 163  -19156.4565576   0.518514
 164  -19156.4550152   0.520056
 165  -19156.4465728   0.528499
 166  -19156.4461436   0.528928
 167  -19156.4443947   0.530677
 168  -19156.442027   0.533045
 169  -19156.4392038   0.535868
 170  -19156.4384236   0.536648
 171  -19156.4381766   0.536895
 172  -19156.438123   0.536949
 173  -19156.4287672   0.546304
 174  -19156.4287446   0.546327
 175  -19156.4284004   0.546671
 176  -19156.4274871   0.547585
 177  -19156.4271138   0.547958
 178  -19156.4244907   0.550581
 179  -19156.4244175   0.550654
 180  -19156.4188211   0.556251
 181  -19156.4179791   0.557093
 182  -19156.4142031   0.560869
 183  -19156.4141657   0.560906
 184  -19156.4133262   0.561745
 185  -19156.4130494   0.562022
 186  -19156.4125824   0.562489
 187  -19156.4012382   0.573833
 188  -19156.4009836   0.574088
 189  -19156.4000671   0.575005
 190  -19156.3943363   0.580735
 191  -19156.3942246   0.580847
 192  -19156.392674   0.582398
 193  -19156.3905178   0.584554
 194  -19156.3888398   0.586232
 195  -19156.3868342   0.588237
 196  -19156.3855781   0.589494
 197  -19156.3854871   0.589585
 198  -19156.3851023   0.589969
 199  -19156.3831736   0.591898
 200  -19156.3825968   0.592475
 201  -19156.3809068   0.594165
 202  -19156.3807049   0.594367
 203  -19156.3803697   0.594702
 204  -19156.3801473   0.594924
 205  -19156.3798806   0.595191
 206  -19156.3785648   0.596507
