# Relative energy hierarchy for Gln conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -239611.986652   0.000000
   2  -239611.965302   0.021350
   3  -239611.78772   0.198932
   4  -239611.676682   0.309970
   5  -239611.676416   0.310236
   6  -239611.617551   0.369101
   7  -239611.603301   0.383351
   8  -239611.601576   0.385076
   9  -239611.595915   0.390737
  10  -239611.551762   0.434890
  11  -239611.542454   0.444198
  12  -239611.53683   0.449822
  13  -239611.477313   0.509339
  14  -239611.451482   0.535170
  15  -239611.258526   0.728126
  16  -239611.209093   0.777559
  17  -239611.005963   0.980689
  18  -239610.95408   1.032572
  19  -239610.936228   1.050424
  20  -239610.88431   1.102342
  21  -239610.848273   1.138379
  22  -239610.840999   1.145653
  23  -239610.840676   1.145976
  24  -239610.827605   1.159047
  25  -239610.816923   1.169729
  26  -239610.589424   1.397228
  27  -239610.584785   1.401867
  28  -239610.546316   1.440336
  29  -239610.526573   1.460079
  30  -239610.44349   1.543162
  31  -239610.390361   1.596291
  32  -239610.305367   1.681285
  33  -239610.265244   1.721408
  34  -239610.247982   1.738670
  35  -239610.21136   1.775292
  36  -239610.210584   1.776068
  37  -239610.187073   1.799579
  38  -239610.184078   1.802574
  39  -239610.155301   1.831351
  40  -239610.13809   1.848562
  41  -239610.009367   1.977285
  42  -239609.973919   2.012733
  43  -239609.918499   2.068153
  44  -239609.915655   2.070997
  45  -239609.878184   2.108468
  46  -239609.877118   2.109534
