# Relative energy hierarchy for Gln conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -33019.1722594   0.000000
   2  -33019.1461586   0.026101
   3  -33018.9822883   0.189971
   4  -33018.9085518   0.263708
   5  -33018.800581   0.371678
   6  -33018.7905956   0.381664
   7  -33018.7736253   0.398634
   8  -33018.7071416   0.465118
   9  -33018.70028   0.471979
  10  -33018.5752585   0.597001
  11  -33018.5528966   0.619363
  12  -33018.5329003   0.639359
  13  -33018.4796254   0.692634
  14  -33018.459875   0.712384
  15  -33018.3908159   0.781444
  16  -33018.3381081   0.834151
  17  -33018.2275973   0.944662
  18  -33018.0408687   1.131391
  19  -33017.8120516   1.360208
  20  -33017.811115   1.361144
  21  -33017.7852546   1.387005
  22  -33017.7389101   1.433349
  23  -33017.7357461   1.436513
  24  -33017.7262065   1.446053
  25  -33017.7135649   1.458695
  26  -33017.6892954   1.482964
  27  -33017.6826698   1.489590
  28  -33017.4517182   1.720541
  29  -33017.4361001   1.736159
  30  -33017.2510444   1.921215
  31  -33017.2319947   1.940265
  32  -33017.1444255   2.027834
  33  -33017.0890898   2.083170
  34  -33016.9503179   2.221941
  35  -33016.9028296   2.269430
  36  -33016.8634813   2.308778
  37  -33016.8507082   2.321551
  38  -33016.7970901   2.375169
  39  -33016.794014   2.378245
  40  -33016.7589772   2.413282
  41  -33016.7535552   2.418704
  42  -33016.7154846   2.456775
  43  -33016.5699255   2.602334
  44  -33016.5205112   2.651748
  45  -33016.4688136   2.703446
  46  -33016.4667323   2.705527
  47  -33016.4513634   2.720896
  48  -33016.4332313   2.739028
  49  -33016.4104144   2.761845
  50  -33016.4025882   2.769671
  51  -33016.4005467   2.771713
  52  -33016.245789   2.926470
