# Relative energy hierarchy for Gln conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -168592.623315   0.000000
   2  -168592.500847   0.122468
   3  -168592.407643   0.215672
   4  -168592.385003   0.238312
   5  -168592.380964   0.242351
   6  -168592.187379   0.435936
   7  -168592.083888   0.539427
   8  -168592.047607   0.575708
   9  -168592.030993   0.592322
  10  -168592.010877   0.612438
  11  -168592.004839   0.618476
  12  -168592.000495   0.622820
  13  -168591.913268   0.710047
  14  -168591.812778   0.810537
  15  -168591.793299   0.830016
  16  -168591.783383   0.839932
  17  -168591.761659   0.861656
  18  -168591.718577   0.904738
  19  -168591.684155   0.939160
  20  -168591.36831   1.255005
  21  -168591.320234   1.303081
  22  -168591.059749   1.563566
  23  -168591.059083   1.564232
  24  -168590.907018   1.716297
  25  -168590.804334   1.818981
  26  -168590.759605   1.863710
  27  -168590.740817   1.882498
  28  -168590.724718   1.898597
  29  -168590.690798   1.932517
  30  -168590.677033   1.946282
  31  -168590.675704   1.947611
  32  -168590.656511   1.966804
  33  -168590.652687   1.970628
  34  -168590.622331   2.000984
  35  -168590.588023   2.035292
  36  -168590.579758   2.043557
  37  -168590.552153   2.071162
  38  -168590.410329   2.212986
  39  -168590.362695   2.260620
  40  -168590.334624   2.288691
