# Relative energy hierarchy for Gln conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -567871.020738   0.000000
   2  -567870.965895   0.054843
   3  -567870.94235   0.078388
   4  -567870.84257   0.178168
   5  -567870.800748   0.219990
   6  -567870.760127   0.260611
   7  -567870.725544   0.295194
   8  -567870.704751   0.315987
   9  -567870.698444   0.322294
  10  -567870.671592   0.349146
  11  -567870.66041   0.360328
  12  -567870.635579   0.385159
  13  -567870.512408   0.508330
  14  -567870.338185   0.682553
  15  -567870.251472   0.769266
  16  -567870.199459   0.821279
  17  -567869.955245   1.065493
  18  -567869.917332   1.103406
  19  -567869.899708   1.121030
  20  -567869.898596   1.122142
  21  -567869.880823   1.139915
  22  -567869.858577   1.162161
  23  -567869.831705   1.189033
  24  -567869.801638   1.219100
  25  -567869.786108   1.234630
  26  -567869.773859   1.246879
  27  -567869.741549   1.279189
  28  -567869.737359   1.283379
  29  -567869.708079   1.312659
  30  -567869.642147   1.378591
  31  -567869.614988   1.405750
  32  -567869.443999   1.576739
  33  -567869.423171   1.597567
