# Relative energy hierarchy for Gln conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -101664.885064   0.000000
   2  -101664.863008   0.022056
   3  -101664.695208   0.189856
   4  -101664.598868   0.286196
   5  -101664.502166   0.382898
   6  -101664.442795   0.442269
   7  -101664.429715   0.455349
   8  -101664.409751   0.475313
   9  -101664.362145   0.522919
  10  -101664.339917   0.545147
  11  -101664.330949   0.554115
  12  -101664.329541   0.555523
  13  -101664.213508   0.671556
  14  -101664.183112   0.701952
  15  -101664.166496   0.718568
  16  -101664.0154   0.869664
  17  -101663.670406   1.214658
  18  -101663.626058   1.259006
  19  -101663.597065   1.287999
  20  -101663.594746   1.290318
  21  -101663.583781   1.301283
  22  -101663.557778   1.327286
  23  -101663.54146   1.343604
  24  -101663.535097   1.349967
  25  -101663.319106   1.565958
  26  -101663.310753   1.574311
  27  -101663.126686   1.758378
  28  -101663.107011   1.778053
  29  -101663.02294   1.862124
  30  -101662.969401   1.915663
  31  -101662.86333   2.021734
  32  -101662.827175   2.057889
  33  -101662.823757   2.061307
  34  -101662.76671   2.118354
  35  -101662.765574   2.119490
  36  -101662.736963   2.148101
  37  -101662.73662   2.148444
  38  -101662.733098   2.151966
  39  -101662.691154   2.193910
  40  -101662.557897   2.327167
  41  -101662.518651   2.366413
  42  -101662.463339   2.421725
  43  -101662.460507   2.424557
  44  -101662.420309   2.464755
  45  -101662.416214   2.468850
  46  -101662.410291   2.474773
