# Relative energy hierarchy for Ac-Glu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -244829.487394   0.000000
   2  -244829.430160   0.057234
   3  -244829.429666   0.057728
   4  -244829.420050   0.067344
   5  -244829.359279   0.128115
   6  -244829.355457   0.131937
   7  -244829.346171   0.141223
   8  -244829.342531   0.144863
   9  -244829.319078   0.168316
  10  -244829.289746   0.197648
  11  -244829.242246   0.245148
  12  -244829.232157   0.255237
  13  -244829.221344   0.266050
  14  -244829.217176   0.270218
  15  -244829.208137   0.279257
  16  -244829.184523   0.302871
  17  -244829.162026   0.325368
  18  -244829.155248   0.332146
  19  -244829.149521   0.337873
  20  -244829.149083   0.338311
  21  -244829.146920   0.340474
  22  -244829.146312   0.341082
  23  -244829.145239   0.342155
  24  -244829.089702   0.397692
  25  -244829.077334   0.410060
  26  -244829.067469   0.419925
  27  -244829.066970   0.420424
  28  -244829.043404   0.443990
  29  -244829.040061   0.447333
  30  -244829.039079   0.448315
  31  -244829.027971   0.459423
  32  -244829.005223   0.482171
  33  -244828.981793   0.505601
  34  -244828.980384   0.507010
  35  -244828.975735   0.511659
  36  -244828.956977   0.530417
  37  -244828.956783   0.530611
  38  -244828.914453   0.572941
  39  -244828.912070   0.575324
  40  -244828.910285   0.577109
  41  -244828.893540   0.593854
  42  -244828.889655   0.597739
  43  -244828.882265   0.605129
  44  -244828.877272   0.610122
  45  -244828.870262   0.617132
  46  -244828.856590   0.630804
  47  -244828.850467   0.636927
  48  -244828.848784   0.638610
  49  -244828.838243   0.649151
  50  -244828.835136   0.652258
  51  -244828.808116   0.679278
  52  -244828.752914   0.734480
  53  -244828.747692   0.739702
  54  -244828.742602   0.744792
  55  -244828.741514   0.745880
  56  -244828.720791   0.766603
  57  -244828.661070   0.826324
  58  -244828.640021   0.847373
  59  -244828.633781   0.853613
  60  -244828.590891   0.896503
  61  -244828.587994   0.899400
  62  -244828.557194   0.930200
  63  -244828.545201   0.942193
  64  -244828.499925   0.987469
  65  -244828.496319   0.991075
  66  -244828.491636   0.995758
  67  -244828.313820   1.173574
  68  -244828.199220   1.288174
  69  -244827.843238   1.644156
  70  -244827.841034   1.646360
  71  -244827.828489   1.658905
  72  -244827.794314   1.693080
  73  -244827.784012   1.703382
  74  -244827.763667   1.723727
  75  -244827.735790   1.751604
  76  -244827.677191   1.810203
  77  -244827.660353   1.827041
  78  -244827.656143   1.831251
  79  -244827.599374   1.888020
  80  -244827.568086   1.919308
  81  -244827.544256   1.943138
  82  -244827.529465   1.957929
  83  -244827.493716   1.993678
  84  -244827.462249   2.025145
  85  -244827.457092   2.030302
  86  -244827.441058   2.046336
  87  -244827.433885   2.053509
  88  -244827.394146   2.093248
  89  -244827.373995   2.113399
  90  -244827.370020   2.117374
  91  -244827.290579   2.196815
  92  -244827.035891   2.451503
  93  -244826.919152   2.568242
