# Relative energy hierarchy for deprotonated Ac-Glu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -38237.0744922   0.000000
   2  -38237.0183097   0.056183
   3  -38237.0165714   0.057921
   4  -38236.9614345   0.113058
   5  -38236.9209588   0.153533
   6  -38236.9189758   0.155516
   7  -38236.9027231   0.171769
   8  -38236.899128   0.175364
   9  -38236.827725   0.246767
  10  -38236.8183554   0.256137
  11  -38236.8126956   0.261797
  12  -38236.7994118   0.275080
  13  -38236.7600526   0.314440
  14  -38236.7590544   0.315438
  15  -38236.7342379   0.340254
  16  -38236.707377   0.367115
  17  -38236.6712058   0.403286
  18  -38236.6666504   0.407842
  19  -38236.6564497   0.418043
  20  -38236.6551997   0.419293
  21  -38236.6470507   0.427442
  22  -38236.6446423   0.429850
  23  -38236.6379388   0.436553
  24  -38236.5558238   0.518668
  25  -38236.5549428   0.519549
  26  -38236.5356452   0.538847
  27  -38236.5349803   0.539512
  28  -38236.5321827   0.542310
  29  -38236.5183412   0.556151
  30  -38236.492703   0.581789
  31  -38236.4905727   0.583920
  32  -38236.4895038   0.584988
  33  -38236.4837321   0.590760
  34  -38236.4797117   0.594781
  35  -38236.469522   0.604970
  36  -38236.4635368   0.610955
  37  -38236.4537526   0.620740
  38  -38236.4026439   0.671848
  39  -38236.3995633   0.674929
  40  -38236.3956222   0.678870
  41  -38236.3926875   0.681805
  42  -38236.387283   0.687209
  43  -38236.3855288   0.688963
  44  -38236.3818591   0.692633
  45  -38236.3784353   0.696057
  46  -38236.3698138   0.704678
  47  -38236.3661867   0.708306
  48  -38236.3624237   0.712069
  49  -38236.3582729   0.716219
  50  -38236.331417   0.743075
  51  -38236.3246835   0.749809
  52  -38236.318379   0.756113
  53  -38236.2843205   0.790172
  54  -38236.2726102   0.801882
  55  -38236.2223509   0.852141
  56  -38236.2109955   0.863497
  57  -38236.1997151   0.874777
  58  -38236.1744947   0.899998
  59  -38236.1457919   0.928700
  60  -38236.1286596   0.945833
  61  -38236.0786149   0.995877
  62  -38236.0699478   1.004544
  63  -38236.0494953   1.024997
  64  -38235.9997152   1.074777
  65  -38235.992613   1.081879
  66  -38235.9891504   1.085342
  67  -38235.9841451   1.090347
  68  -38235.767438   1.307054
  69  -38235.6583971   1.416095
  70  -38235.1413993   1.933093
  71  -38235.0628875   2.011605
  72  -38235.0528291   2.021663
  73  -38235.0515859   2.022906
  74  -38235.0403074   2.034185
  75  -38235.0224453   2.052047
  76  -38235.0196925   2.054800
  77  -38234.9856884   2.088804
  78  -38234.9841424   2.090350
  79  -38234.949493   2.124999
  80  -38234.8995787   2.174913
  81  -38234.8977948   2.176697
  82  -38234.8548371   2.219655
  83  -38234.7949955   2.279497
  84  -38234.7771902   2.297302
  85  -38234.7639097   2.310583
  86  -38234.7358793   2.338613
  87  -38234.69112   2.383372
  88  -38234.67324   2.401252
  89  -38234.6725675   2.401925
  90  -38234.6410634   2.433429
  91  -38234.6383763   2.436116
  92  -38234.6041108   2.470381
  93  -38234.5858224   2.488670
  94  -38234.5613604   2.513132
  95  -38234.5090447   2.565448
  96  -38234.2272876   2.847205
  97  -38234.1016322   2.972860
