# Relative energy hierarchy for Ac-Glu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -173810.5873048   0.000000
   2  -173810.5652048   0.022100
   3  -173810.5573081   0.029997
   4  -173810.5397561   0.047549
   5  -173810.5385385   0.048766
   6  -173810.5113149   0.075990
   7  -173810.4945316   0.092773
   8  -173810.4941361   0.093169
   9  -173810.4642777   0.123027
  10  -173810.4641868   0.123118
  11  -173810.4548179   0.132487
  12  -173810.4547665   0.132538
  13  -173810.4407202   0.146585
  14  -173810.4402188   0.147086
  15  -173810.4313221   0.155983
  16  -173810.4240495   0.163255
  17  -173810.4237018   0.163603
  18  -173810.4234914   0.163813
  19  -173810.4134480   0.173857
  20  -173810.3987578   0.188547
  21  -173810.3733091   0.213996
  22  -173810.3653509   0.221954
  23  -173810.3597790   0.227526
  24  -173810.3325112   0.254794
  25  -173810.3263321   0.260973
  26  -173810.3262421   0.261063
  27  -173810.3160852   0.271220
  28  -173810.3149641   0.272341
  29  -173810.3149432   0.272362
  30  -173810.3002491   0.287056
  31  -173810.2990776   0.288227
  32  -173810.2803859   0.306919
  33  -173810.2573118   0.329993
  34  -173810.2552346   0.332070
  35  -173810.2106651   0.376640
  36  -173810.2065379   0.380767
  37  -173810.1915996   0.395705
  38  -173810.1806029   0.406702
  39  -173810.1769195   0.410385
  40  -173810.1673982   0.419907
  41  -173810.1510242   0.436281
  42  -173810.1366788   0.450626
  43  -173810.1364398   0.450865
  44  -173810.1176533   0.469651
  45  -173810.1140650   0.473240
  46  -173810.0850579   0.502247
  47  -173810.0846225   0.502682
  48  -173810.0626692   0.524636
  49  -173810.0488055   0.538499
  50  -173810.0477519   0.539553
  51  -173810.0323588   0.554946
  52  -173810.0322458   0.555059
  53  -173810.0176621   0.569643
  54  -173809.9776277   0.609677
  55  -173809.9720277   0.615277
  56  -173809.9557109   0.631594
  57  -173809.8958592   0.691446
  58  -173809.8663482   0.720957
  59  -173809.8216990   0.765606
  60  -173809.7915524   0.795752
  61  -173809.7813546   0.805950
  62  -173809.7685392   0.818766
  63  -173809.7606417   0.826663
  64  -173809.6964109   0.890894
  65  -173809.6027426   0.984562
  66  -173809.6012426   0.986062
  67  -173809.5338311   1.053474
  68  -173809.5146326   1.072672
  69  -173809.4885945   1.098710
  70  -173809.4879850   1.099320
  71  -173809.4705118   1.116793
  72  -173809.4670597   1.120245
  73  -173809.4504281   1.136877
  74  -173809.4497887   1.137516
  75  -173809.4426460   1.144659
  76  -173809.3889622   1.198343
  77  -173809.3494513   1.237854
  78  -173809.3429049   1.244400
  79  -173809.3353210   1.251984
  80  -173809.2934312   1.293874
  81  -173809.2910682   1.296237
  82  -173809.1849151   1.402390
  83  -173809.1110788   1.476226
  84  -173809.1014834   1.485821
  85  -173809.0978238   1.489481
  86  -173809.0967036   1.490601
  87  -173809.0528771   1.534428
