# Relative energy hierarchy for Ac-Glu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -609835.3719436   0.000000
   2  -609835.3145723   0.057371
   3  -609835.3143985   0.057545
   4  -609835.3107472   0.061196
   5  -609835.3090051   0.062938
   6  -609835.3013292   0.070614
   7  -609835.2973513   0.074592
   8  -609835.2795235   0.092420
   9  -609835.2761840   0.095760
  10  -609835.2415595   0.130384
  11  -609835.2401198   0.131824
  12  -609835.2353535   0.136590
  13  -609835.2321124   0.139831
  14  -609835.2281642   0.143779
  15  -609835.2148221   0.157122
  16  -609835.2002163   0.171727
  17  -609835.1952220   0.176722
  18  -609835.1886081   0.183335
  19  -609835.1854067   0.186537
  20  -609835.1650489   0.206895
  21  -609835.1506334   0.221310
  22  -609835.1475180   0.224426
  23  -609835.1407800   0.231164
  24  -609835.1321553   0.239788
  25  -609835.1197304   0.252213
  26  -609835.1065395   0.265404
  27  -609835.1063085   0.265635
  28  -609835.1059200   0.266024
  29  -609835.0439212   0.328022
  30  -609835.0332313   0.338712
  31  -609835.0320270   0.339917
  32  -609835.0210275   0.350916
  33  -609835.0166298   0.355314
  34  -609835.0010885   0.370855
  35  -609834.9955009   0.376443
  36  -609834.9854990   0.386445
  37  -609834.9833552   0.388588
  38  -609834.9815816   0.390362
  39  -609834.9702736   0.401670
  40  -609834.9549074   0.417036
  41  -609834.9461132   0.425830
  42  -609834.9359988   0.435945
  43  -609834.9105448   0.461399
  44  -609834.9077109   0.464233
  45  -609834.8874834   0.484460
  46  -609834.8778547   0.494089
  47  -609834.8706630   0.501281
  48  -609834.8602951   0.511648
  49  -609834.8390997   0.532844
  50  -609834.8343949   0.537549
  51  -609834.8310903   0.540853
  52  -609834.8223879   0.549556
  53  -609834.8146686   0.557275
  54  -609834.8123470   0.559597
  55  -609834.7970450   0.574899
  56  -609834.7846174   0.587326
  57  -609834.7584551   0.613489
  58  -609834.7002725   0.671671
  59  -609834.6634946   0.708449
  60  -609834.6379204   0.734023
  61  -609834.6371385   0.734805
  62  -609834.6370555   0.734888
  63  -609834.6146496   0.757294
  64  -609834.5957109   0.776233
  65  -609834.5645718   0.807372
  66  -609834.5116166   0.860327
  67  -609834.5098762   0.862067
  68  -609834.4206604   0.951283
  69  -609834.2780636   1.093880
  70  -609834.1694364   1.202507
  71  -609833.9217529   1.450191
  72  -609833.8813401   1.490604
  73  -609833.8336713   1.538272
  74  -609833.8252904   1.546653
  75  -609833.8174349   1.554509
  76  -609833.8035648   1.568379
  77  -609833.7993244   1.572619
  78  -609833.7383371   1.633606
  79  -609833.6949771   1.676967
  80  -609833.6934120   1.678532
  81  -609833.6505890   1.721355
  82  -609833.6255189   1.746425
  83  -609833.5487417   1.823202
  84  -609833.5409343   1.831009
  85  -609833.5197926   1.852151
  86  -609833.4918747   1.880069
  87  -609833.4436396   1.928304
  88  -609833.4288737   1.943070
  89  -609833.4280600   1.943884
  90  -609833.4156660   1.956278
  91  -609833.3945229   1.977421
  92  -609833.3847130   1.987231
  93  -609833.3644069   2.007537
  94  -609833.3593117   2.012632
  95  -609833.2825863   2.089357
