# Relative energy hierarchy for Ac-Glu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -106870.9497633   0.000000
   2  -106870.8695389   0.080224
   3  -106870.8633828   0.086380
   4  -106870.8345442   0.115219
   5  -106870.7859532   0.163810
   6  -106870.7849268   0.164837
   7  -106870.7816799   0.168083
   8  -106870.7795498   0.170213
   9  -106870.7638986   0.185865
  10  -106870.7060098   0.243754
  11  -106870.6929849   0.256778
  12  -106870.6928420   0.256921
  13  -106870.6628644   0.286899
  14  -106870.6527536   0.297010
  15  -106870.6504772   0.299286
  16  -106870.6470263   0.302737
  17  -106870.6463670   0.303396
  18  -106870.6450846   0.304679
  19  -106870.6448876   0.304876
  20  -106870.6414341   0.308329
  21  -106870.6076876   0.342076
  22  -106870.5677398   0.382024
  23  -106870.5644131   0.385350
  24  -106870.5643478   0.385416
  25  -106870.5641197   0.385644
  26  -106870.5589314   0.390832
  27  -106870.5561273   0.393636
  28  -106870.5544261   0.395337
  29  -106870.5487578   0.401005
  30  -106870.5467728   0.402991
  31  -106870.5304261   0.419337
  32  -106870.5199577   0.429806
  33  -106870.5142833   0.435480
  34  -106870.5137536   0.436010
  35  -106870.4940189   0.455744
  36  -106870.4927787   0.456985
  37  -106870.4852634   0.464500
  38  -106870.4739098   0.475854
  39  -106870.4730694   0.476694
  40  -106870.4712160   0.478547
  41  -106870.4710731   0.478690
  42  -106870.4700451   0.479718
  43  -106870.4637883   0.485975
  44  -106870.4605768   0.489186
  45  -106870.4538078   0.495955
  46  -106870.4388950   0.510868
  47  -106870.4350093   0.514754
  48  -106870.4212682   0.528495
  49  -106870.4208268   0.528937
  50  -106870.3951598   0.554604
  51  -106870.3872835   0.562480
  52  -106870.3803345   0.569429
  53  -106870.3753514   0.574412
  54  -106870.3645302   0.585233
  55  -106870.3455184   0.604245
  56  -106870.3420998   0.607664
  57  -106870.3356699   0.614093
  58  -106870.3335197   0.616244
  59  -106870.3233708   0.626392
  60  -106870.3216876   0.628076
  61  -106870.2958804   0.653883
  62  -106870.2713248   0.678439
  63  -106870.2659934   0.683770
  64  -106870.2395424   0.710221
  65  -106870.2278759   0.721887
  66  -106870.2277670   0.721996
  67  -106870.2273230   0.722440
  68  -106870.2256338   0.724129
  69  -106870.2213311   0.728432
  70  -106870.2138241   0.735939
  71  -106870.2095105   0.740253
  72  -106870.1993649   0.750398
  73  -106870.1934923   0.756271
  74  -106870.1866569   0.763106
  75  -106870.1475716   0.802192
  76  -106870.1234222   0.826341
  77  -106870.0458179   0.903945
  78  -106870.0338716   0.915892
  79  -106870.0319819   0.917781
  80  -106870.0200827   0.929681
  81  -106870.0142542   0.935509
  82  -106869.9884499   0.961313
  83  -106869.9818945   0.967869
  84  -106869.9677612   0.982002
  85  -106869.9646445   0.985119
  86  -106869.9593497   0.990414
  87  -106869.9552892   0.994474
  88  -106869.9296087   1.020155
  89  -106869.9157555   1.034008
  90  -106869.9098557   1.039908
  91  -106869.8117637   1.138000
  92  -106869.7922331   1.157530
  93  -106869.7852554   1.164508
  94  -106869.7178488   1.231914
  95  -106869.6791887   1.270575
  96  -106869.4687864   1.480977
