# Relative energy hierarchy for Glu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -240146.411894   0.000000
   2  -240146.234017   0.177877
   3  -240146.227240   0.184654
   4  -240146.221807   0.190087
   5  -240146.183885   0.228009
   6  -240146.179014   0.232880
   7  -240146.144692   0.267202
   8  -240146.116792   0.295102
   9  -240145.995108   0.416786
  10  -240145.982051   0.429843
  11  -240145.861896   0.549998
  12  -240145.861246   0.550648
  13  -240145.822244   0.589650
  14  -240145.820975   0.590919
  15  -240145.808750   0.603144
  16  -240145.798171   0.613723
  17  -240145.790441   0.621453
  18  -240145.788991   0.622903
  19  -240145.777056   0.634838
  20  -240145.776791   0.635103
  21  -240145.776166   0.635728
  22  -240145.753753   0.658141
  23  -240145.750186   0.661708
  24  -240145.746105   0.665789
  25  -240145.740312   0.671582
  26  -240145.644996   0.766898
  27  -240145.360370   1.051524
  28  -240145.246421   1.165473
  29  -240145.213886   1.198008
  30  -240145.208699   1.203195
  31  -240145.183428   1.228466
  32  -240145.050755   1.361139
  33  -240145.035171   1.376723
  34  -240145.021489   1.390405
  35  -240145.003445   1.408449
  36  -240144.996126   1.415768
  37  -240144.991541   1.420353
  38  -240144.991135   1.420759
  39  -240144.982471   1.429423
  40  -240144.902231   1.509663
  41  -240144.855312   1.556582
  42  -240144.825036   1.586858
  43  -240144.791587   1.620307
  44  -240144.732255   1.679639
  45  -240144.728833   1.683061
