# Relative energy hierarchy for deprotonated Glu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -33553.7929362   0.000000
   2  -33553.7112285   0.081708
   3  -33553.6745091   0.118427
   4  -33553.6738626   0.119074
   5  -33553.6569476   0.135989
   6  -33553.6539673   0.138969
   7  -33553.6476124   0.145324
   8  -33553.6141226   0.178814
   9  -33553.5167885   0.276148
  10  -33553.4537301   0.339206
  11  -33553.4293603   0.363576
  12  -33553.3451168   0.447819
  13  -33553.3441963   0.448740
  14  -33553.3372696   0.455667
  15  -33553.2937132   0.499223
  16  -33553.2688592   0.524077
  17  -33553.2646349   0.528301
  18  -33553.2555894   0.537347
  19  -33553.2426282   0.550308
  20  -33553.2263504   0.566586
  21  -33553.2117544   0.581182
  22  -33553.2011111   0.591825
  23  -33553.1897289   0.603207
  24  -33553.1863481   0.606588
  25  -33553.1759251   0.617011
  26  -33553.161006   0.631930
  27  -33553.1436208   0.649315
  28  -33553.0816633   0.711273
  29  -33552.7198227   1.073114
  30  -33552.5991178   1.193818
  31  -33552.5990472   1.193889
  32  -33552.5934129   1.199523
  33  -33552.5503418   1.242594
  34  -33552.2679303   1.525006
  35  -33552.2568266   1.536110
  36  -33552.2321744   1.560762
  37  -33552.2275444   1.565392
  38  -33552.2072398   1.585696
  39  -33552.2025468   1.590389
  40  -33552.2000253   1.592911
  41  -33552.1958226   1.597114
  42  -33552.1062372   1.686699
  43  -33552.0518132   1.741123
  44  -33552.022255   1.770681
  45  -33551.9395705   1.853366
  46  -33551.9304327   1.862504
  47  -33551.8686848   1.924251
