# Relative energy hierarchy for Glu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -169127.4163427   0.000000
   2  -169127.4157820   0.000561
   3  -169127.4155376   0.000805
   4  -169127.4154645   0.000878
   5  -169127.3217526   0.094590
   6  -169127.3216114   0.094731
   7  -169127.2946417   0.121701
   8  -169127.2694700   0.146873
   9  -169127.2537462   0.162596
  10  -169127.2532824   0.163060
  11  -169127.2418637   0.174479
  12  -169127.1558374   0.260505
  13  -169127.1496665   0.266676
  14  -169127.0971138   0.319229
  15  -169127.0740461   0.342297
  16  -169127.0730142   0.343328
  17  -169127.0671798   0.349163
  18  -169126.9912730   0.425070
  19  -169126.9908375   0.425505
  20  -169126.9552307   0.461112
  21  -169126.9298969   0.486446
  22  -169126.9297972   0.486545
  23  -169126.8927093   0.523633
  24  -169126.8809373   0.535405
  25  -169126.8408898   0.575453
  26  -169126.8325464   0.583796
  27  -169126.8213835   0.594959
  28  -169126.7793967   0.636946
  29  -169126.6372731   0.779070
  30  -169126.4942582   0.922084
  31  -169126.4805276   0.935815
  32  -169126.4799088   0.936434
  33  -169126.4706836   0.945659
  34  -169126.4387055   0.977637
  35  -169126.4308726   0.985470
  36  -169126.4308348   0.985508
  37  -169126.3950337   1.021309
