# Relative energy hierarchy for Glu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -568407.9728832   0.000000
   2  -568405.8619339   2.110949
   3  -568405.8615693   2.111314
   4  -568405.8613874   2.111496
   5  -568405.8498205   2.123063
   6  -568405.8312130   2.141670
   7  -568405.8311122   2.141771
   8  -568405.7561585   2.216725
   9  -568405.7226847   2.250198
  10  -568405.7197093   2.253174
  11  -568405.7005180   2.272365
  12  -568405.6815354   2.291348
  13  -568405.6760620   2.296821
  14  -568405.6757451   2.297138
  15  -568405.6719024   2.300981
  16  -568405.6718396   2.301044
  17  -568405.6717431   2.301140
  18  -568405.6632903   2.309593
  19  -568405.6536147   2.319269
  20  -568405.6446817   2.328202
  21  -568405.6444640   2.328419
  22  -568405.6064039   2.366479
  23  -568405.5978183   2.375065
  24  -568405.5914844   2.381399
  25  -568405.5799312   2.392952
  26  -568405.5796703   2.393213
  27  -568405.5728972   2.399986
  28  -568405.5696500   2.403233
  29  -568405.5599708   2.412912
  30  -568405.5557890   2.417094
  31  -568405.5131492   2.459734
  32  -568405.4996734   2.473210
  33  -568405.4727434   2.500140
  34  -568405.4462620   2.526621
  35  -568405.3210057   2.651878
