# Relative energy hierarchy for Glu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -605152.2376479   0.000000
   2  -605152.2372372   0.000411
   3  -605152.1622158   0.075432
   4  -605152.1587647   0.078883
   5  -605152.1559502   0.081698
   6  -605152.1290516   0.108596
   7  -605152.1235597   0.114088
   8  -605152.1231062   0.114542
   9  -605152.0896661   0.147982
  10  -605152.0042431   0.233405
  11  -605151.9777773   0.259871
  12  -605151.9769664   0.260681
  13  -605151.9400452   0.297603
  14  -605151.9397589   0.297889
  15  -605151.8835710   0.354077
  16  -605151.8378484   0.399800
  17  -605151.8374848   0.400163
  18  -605151.8266162   0.411032
  19  -605151.8119099   0.425738
  20  -605151.7846999   0.452948
  21  -605151.7845893   0.453059
  22  -605151.7504238   0.487224
  23  -605151.7368260   0.500822
  24  -605151.7170058   0.520642
  25  -605151.7040839   0.533564
  26  -605151.6748472   0.562801
  27  -605151.6721889   0.565459
  28  -605151.6438547   0.593793
  29  -605151.4309631   0.806685
  30  -605151.1902087   1.047439
  31  -605151.1851693   1.052479
  32  -605151.1803998   1.057248
  33  -605151.1803119   1.057336
  34  -605151.0276332   1.210015
  35  -605151.0263153   1.211333
  36  -605150.9896068   1.248041
  37  -605150.9830275   1.254620
  38  -605150.9714930   1.266155
  39  -605150.9552361   1.282412
  40  -605150.9511145   1.286533
