# Relative energy hierarchy for Glu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -102188.5778903   0.000000
   2  -102188.5776576   0.000233
   3  -102188.5776400   0.000250
   4  -102188.5776039   0.000286
   5  -102188.5775629   0.000327
   6  -102188.5775438   0.000347
   7  -102188.5773668   0.000523
   8  -102187.1348266   1.443064
   9  -102187.1346685   1.443222
  10  -102187.1346671   1.443223
  11  -102187.1338712   1.444019
  12  -102187.1310499   1.446840
  13  -102187.0783440   1.499546
  14  -102187.0781106   1.499780
  15  -102187.0779127   1.499978
  16  -102187.0678466   1.510044
  17  -102187.0672912   1.510599
  18  -102187.0546567   1.523234
  19  -102187.0527884   1.525102
  20  -102187.0469568   1.530934
  21  -102187.0448556   1.533035
  22  -102187.0447471   1.533143
  23  -102187.0444463   1.533444
  24  -102187.0424964   1.535394
  25  -102187.0366913   1.541199
  26  -102187.0137510   1.564139
  27  -102187.0130823   1.564808
  28  -102187.0020218   1.575869
  29  -102186.9504652   1.627425
  30  -102186.9497234   1.628167
  31  -102186.9229789   1.654911
  32  -102186.9152106   1.662680
  33  -102186.9141458   1.663745
  34  -102186.9001913   1.677699
  35  -102186.8870389   1.690851
  36  -102186.8669843   1.710906
  37  -102186.8536969   1.724193
  38  -102186.8494124   1.728478
  39  -102186.8096306   1.768260
  40  -102186.8041213   1.773769
  41  -102186.7946039   1.783286
  42  -102186.6561439   1.921746
  43  -102186.4674262   2.110464
  44  -102186.1798176   2.398073
  45  -102186.1789701   2.398920
