# Relative energy hierarchy for deprotonated Glu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -15001.5844111   0.000000
   2  -15001.5595697   0.024841
   3  -15001.4638291   0.120582
   4  -15001.4477576   0.136653
   5  -15001.4445381   0.139873
   6  -15001.4424243   0.141987
   7  -15001.4398696   0.144541
   8  -15001.4376376   0.146774
   9  -15001.4335755   0.150836
  10  -15001.4331962   0.151215
  11  -15001.4295869   0.154824
  12  -15001.4057961   0.178615
  13  -15001.4009081   0.183503
  14  -15001.334111   0.250300
  15  -15001.2849742   0.299437
  16  -15001.2607122   0.323699
  17  -15001.2553758   0.329035
  18  -15001.2305447   0.353866
  19  -15001.2247761   0.359635
  20  -15001.2189318   0.365479
  21  -15001.2135246   0.370887
  22  -15001.1388868   0.445524
  23  -15001.1127717   0.471639
  24  -15001.0420451   0.542366
  25  -15000.7561917   0.828219
  26  -15000.7511209   0.833290
  27  -15000.7216254   0.862786
  28  -15000.7213434   0.863068
  29  -15000.7211085   0.863303
  30  -15000.7076198   0.876791
  31  -15000.7073773   0.877034
  32  -15000.7027037   0.881707
  33  -15000.6960611   0.888350
  34  -15000.6917375   0.892674
  35  -15000.6799743   0.904437
  36  -15000.6758389   0.908572
  37  -15000.6683506   0.916060
  38  -15000.6410491   0.943362
  39  -15000.6265732   0.957838
  40  -15000.6096307   0.974780
  41  -15000.6051511   0.979260
  42  -15000.5961059   0.988305
  43  -15000.5786874   1.005724
  44  -15000.5582857   1.026125
  45  -15000.5555819   1.028829
  46  -15000.5517352   1.032676
  47  -15000.4838577   1.100553
  48  -15000.4812736   1.103138
  49  -15000.4800673   1.104344
  50  -15000.4761488   1.108262
  51  -15000.4735687   1.110842
  52  -15000.4604633   1.123948
