# Relative energy hierarchy for Ac-Glu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -244837.014951   0.000000
   2  -244836.904888   0.110063
   3  -244836.877849   0.137102
   4  -244836.794802   0.220149
   5  -244836.784606   0.230345
   6  -244836.782194   0.232757
   7  -244836.762779   0.252172
   8  -244836.736969   0.277982
   9  -244836.707907   0.307044
  10  -244836.694128   0.320823
  11  -244836.677489   0.337462
  12  -244836.652224   0.362727
  13  -244836.645971   0.368980
  14  -244836.633098   0.381853
  15  -244836.625895   0.389056
  16  -244836.618614   0.396337
  17  -244836.581762   0.433189
  18  -244836.555237   0.459714
  19  -244836.546592   0.468359
  20  -244836.519694   0.495257
  21  -244836.483413   0.531538
  22  -244836.450653   0.564298
  23  -244836.362851   0.652100
  24  -244836.356908   0.658043
  25  -244836.350447   0.664504
  26  -244836.34566   0.669291
  27  -244836.344326   0.670625
  28  -244836.337931   0.677020
  29  -244836.337357   0.677594
  30  -244836.335962   0.678989
  31  -244836.330038   0.684913
  32  -244836.316691   0.698260
  33  -244836.316226   0.698725
  34  -244836.301467   0.713484
  35  -244836.290515   0.724436
  36  -244836.28372   0.731231
  37  -244836.280167   0.734784
  38  -244836.26932   0.745631
  39  -244836.264696   0.750255
  40  -244836.262825   0.752126
  41  -244836.247871   0.767080
  42  -244836.232783   0.782168
  43  -244836.20003   0.814921
  44  -244836.187933   0.827018
  45  -244836.186546   0.828405
  46  -244836.184264   0.830687
  47  -244836.172697   0.842254
  48  -244836.157761   0.857190
  49  -244836.148855   0.866096
  50  -244836.138026   0.876925
  51  -244836.11267   0.902281
  52  -244836.109988   0.904963
  53  -244836.086709   0.928242
  54  -244836.082101   0.932850
  55  -244836.031767   0.983184
  56  -244836.028405   0.986546
  57  -244836.012085   1.002866
  58  -244836.007084   1.007867
  59  -244835.990004   1.024947
  60  -244835.981781   1.033170
  61  -244835.975762   1.039189
  62  -244835.964245   1.050706
  63  -244835.957447   1.057504
  64  -244835.944273   1.070678
  65  -244835.938502   1.076449
  66  -244835.927949   1.087002
  67  -244835.913605   1.101346
  68  -244835.911475   1.103476
  69  -244835.910415   1.104536
  70  -244835.900931   1.114020
  71  -244835.899281   1.115670
  72  -244835.898737   1.116214
  73  -244835.892401   1.122550
  74  -244835.880696   1.134255
  75  -244835.857185   1.157766
  76  -244835.854447   1.160504
  77  -244835.839809   1.175142
  78  -244835.821324   1.193627
  79  -244835.81261   1.202341
  80  -244835.792052   1.222899
  81  -244835.777128   1.237823
  82  -244835.735736   1.279215
  83  -244835.705892   1.309059
  84  -244835.69171   1.323241
  85  -244835.665484   1.349467
  86  -244835.661245   1.353706
  87  -244835.644103   1.370848
  88  -244835.549293   1.465658
  89  -244835.539054   1.475897
  90  -244835.417673   1.597278
