# Relative energy hierarchy for Ac-Glu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -38244.2547471   0.000000
   2  -38244.2323894   0.022358
   3  -38244.1622945   0.092453
   4  -38244.1386515   0.116096
   5  -38244.1348838   0.119863
   6  -38244.1111782   0.143569
   7  -38244.0963375   0.158410
   8  -38244.0114072   0.243340
   9  -38244.0024529   0.252294
  10  -38243.998806   0.255941
  11  -38243.9354945   0.319253
  12  -38243.9300515   0.324696
  13  -38243.8987791   0.355968
  14  -38243.838486   0.416261
  15  -38243.8336695   0.421078
  16  -38243.815248   0.439499
  17  -38243.7745768   0.480170
  18  -38243.7257157   0.529031
  19  -38243.7159466   0.538800
  20  -38243.6657853   0.588962
  21  -38243.6057128   0.649034
  22  -38243.604058   0.650689
  23  -38243.5672711   0.687476
  24  -38243.5373139   0.717433
  25  -38243.536764   0.717983
  26  -38243.5215622   0.733185
  27  -38243.5012425   0.753505
  28  -38243.4988358   0.755911
  29  -38243.4970486   0.757698
  30  -38243.4965528   0.758194
  31  -38243.448117   0.806630
  32  -38243.4405982   0.814149
  33  -38243.4394678   0.815279
  34  -38243.427876   0.826871
  35  -38243.4257661   0.828981
  36  -38243.4252887   0.829458
  37  -38243.4114289   0.843318
  38  -38243.4079163   0.846831
  39  -38243.4049554   0.849792
  40  -38243.4013905   0.853357
  41  -38243.3795421   0.875205
  42  -38243.3759676   0.878780
  43  -38243.3646972   0.890050
  44  -38243.3505817   0.904165
  45  -38243.3502712   0.904476
  46  -38243.3457455   0.909002
  47  -38243.315562   0.939185
  48  -38243.305004   0.949743
  49  -38243.2975394   0.957208
  50  -38243.2902774   0.964470
  51  -38243.2888007   0.965946
  52  -38243.2789222   0.975825
  53  -38243.2625972   0.992150
  54  -38243.2594511   0.995296
  55  -38243.1979856   1.056761
  56  -38243.1923407   1.062406
  57  -38243.1723901   1.082357
  58  -38243.156415   1.098332
  59  -38243.1147562   1.139991
  60  -38243.0947354   1.160012
  61  -38243.0586869   1.196060
  62  -38243.0470604   1.207687
  63  -38243.0392084   1.215539
  64  -38243.0364741   1.218273
  65  -38243.0356968   1.219050
  66  -38243.0272688   1.227478
  67  -38243.0247493   1.229998
  68  -38243.0125624   1.242185
  69  -38243.0001025   1.254645
  70  -38242.9996428   1.255104
  71  -38242.9743109   1.280436
  72  -38242.9629301   1.291817
  73  -38242.9617341   1.293013
  74  -38242.9587761   1.295971
  75  -38242.9338021   1.320945
  76  -38242.922439   1.332308
  77  -38242.9192387   1.335508
  78  -38242.9116195   1.343128
  79  -38242.90211   1.352637
  80  -38242.8963269   1.358420
  81  -38242.8858979   1.368849
  82  -38242.8857201   1.369027
  83  -38242.8779319   1.376815
  84  -38242.8688089   1.385938
  85  -38242.8678204   1.386927
  86  -38242.8660607   1.388686
  87  -38242.8247215   1.430026
  88  -38242.80357   1.451177
  89  -38242.7155048   1.539242
  90  -38242.683818   1.570929
  91  -38242.6737828   1.580964
  92  -38242.669521   1.585226
  93  -38242.6566979   1.598049
  94  -38242.6462817   1.608465
  95  -38242.5796785   1.675069
  96  -38242.5506528   1.704094
  97  -38242.4885679   1.766179
  98  -38242.4092271   1.845520
  99  -38242.2486422   2.006105
