# Relative energy hierarchy for Ac-Glu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -173817.592216   0.000000
   2  -173817.529886   0.062330
   3  -173817.486063   0.106153
   4  -173817.418194   0.174022
   5  -173817.413075   0.179141
   6  -173817.382085   0.210131
   7  -173817.380917   0.211299
   8  -173817.301052   0.291164
   9  -173817.273431   0.318785
  10  -173817.192381   0.399835
  11  -173817.189102   0.403114
  12  -173817.167394   0.424822
  13  -173817.082766   0.509450
  14  -173817.066289   0.525927
  15  -173817.058573   0.533643
  16  -173816.991718   0.600498
  17  -173816.982127   0.610089
  18  -173816.948984   0.643232
  19  -173816.905591   0.686625
  20  -173816.89422   0.697996
  21  -173816.886167   0.706049
  22  -173816.878239   0.713977
  23  -173816.851743   0.740473
  24  -173816.838594   0.753622
  25  -173816.834223   0.757993
  26  -173816.817303   0.774913
  27  -173816.809707   0.782509
  28  -173816.807759   0.784457
  29  -173816.805742   0.786474
  30  -173816.795024   0.797192
  31  -173816.785482   0.806734
  32  -173816.771988   0.820228
  33  -173816.75161   0.840606
  34  -173816.750608   0.841608
  35  -173816.732208   0.860008
  36  -173816.722946   0.869270
  37  -173816.715052   0.877164
  38  -173816.699838   0.892378
  39  -173816.69399   0.898226
  40  -173816.685528   0.906688
  41  -173816.674971   0.917245
  42  -173816.646189   0.946027
  43  -173816.644999   0.947217
  44  -173816.641726   0.950490
  45  -173816.631567   0.960649
  46  -173816.600158   0.992058
  47  -173816.586454   1.005762
  48  -173816.562539   1.029677
  49  -173816.529835   1.062381
  50  -173816.526562   1.065654
  51  -173816.490498   1.101718
  52  -173816.473147   1.119069
  53  -173816.448617   1.143599
  54  -173816.432549   1.159667
  55  -173816.423272   1.168944
  56  -173816.416345   1.175871
  57  -173816.412927   1.179289
  58  -173816.402655   1.189561
  59  -173816.398902   1.193314
  60  -173816.39578   1.196436
  61  -173816.380995   1.211221
  62  -173816.362845   1.229371
  63  -173816.358145   1.234071
  64  -173816.296716   1.295500
  65  -173816.289677   1.302539
  66  -173816.283597   1.308619
  67  -173816.282422   1.309794
  68  -173816.27037   1.321846
  69  -173816.261812   1.330404
  70  -173816.241953   1.350263
  71  -173816.237145   1.355071
  72  -173816.220858   1.371358
  73  -173816.180911   1.411305
  74  -173816.168661   1.423555
  75  -173816.1661   1.426116
  76  -173816.1623   1.429916
  77  -173816.142922   1.449294
  78  -173816.132319   1.459897
  79  -173816.064913   1.527303
  80  -173816.046437   1.545779
  81  -173816.043944   1.548272
  82  -173816.04348   1.548736
  83  -173816.023853   1.568363
  84  -173815.980208   1.612008
  85  -173815.969673   1.622543
  86  -173815.956117   1.636099
  87  -173815.897594   1.694622
  88  -173815.886974   1.705242
  89  -173815.881653   1.710563
  90  -173815.729437   1.862779
