# Relative energy hierarchy for Ac-Glu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -573095.816906   0.000000
   2  -573095.77424   0.042666
   3  -573095.703903   0.113003
   4  -573095.656168   0.160738
   5  -573095.652075   0.164831
   6  -573095.580623   0.236283
   7  -573095.515481   0.301425
   8  -573095.467196   0.349710
   9  -573095.396748   0.420158
  10  -573095.369793   0.447113
  11  -573095.345381   0.471525
  12  -573095.332362   0.484544
  13  -573095.3287   0.488206
  14  -573095.314495   0.502411
  15  -573095.267256   0.549650
  16  -573095.25533   0.561576
  17  -573095.242286   0.574620
  18  -573095.242081   0.574825
  19  -573095.237009   0.579897
  20  -573095.233972   0.582934
  21  -573095.229271   0.587635
  22  -573095.213071   0.603835
  23  -573095.211918   0.604988
  24  -573095.210995   0.605911
  25  -573095.20443   0.612476
  26  -573095.202642   0.614264
  27  -573095.199836   0.617070
  28  -573095.195888   0.621018
  29  -573095.164307   0.652599
  30  -573095.155483   0.661423
  31  -573095.135509   0.681397
  32  -573095.128051   0.688855
  33  -573095.11349   0.703416
  34  -573095.11011   0.706796
  35  -573095.105573   0.711333
  36  -573095.098683   0.718223
  37  -573095.093535   0.723371
  38  -573095.091772   0.725134
  39  -573095.087228   0.729678
  40  -573095.084013   0.732893
  41  -573095.07371   0.743196
  42  -573095.041154   0.775752
  43  -573095.0173   0.799606
  44  -573095.017136   0.799770
  45  -573095.016974   0.799932
  46  -573095.008403   0.808503
  47  -573095.003277   0.813629
  48  -573094.999848   0.817058
  49  -573094.994684   0.822222
  50  -573094.982715   0.834191
  51  -573094.978594   0.838312
  52  -573094.936082   0.880824
  53  -573094.935766   0.881140
  54  -573094.901424   0.915482
  55  -573094.896697   0.920209
  56  -573094.896476   0.920430
  57  -573094.871201   0.945705
  58  -573094.862566   0.954340
  59  -573094.850966   0.965940
  60  -573094.824748   0.992158
  61  -573094.815596   1.001310
  62  -573094.801121   1.015785
  63  -573094.7838   1.033106
  64  -573094.76954   1.047366
  65  -573094.761283   1.055623
  66  -573094.760646   1.056260
  67  -573094.758792   1.058114
  68  -573094.758363   1.058543
  69  -573094.739884   1.077022
  70  -573094.737125   1.079781
  71  -573094.703806   1.113100
  72  -573094.702733   1.114173
  73  -573094.69416   1.122746
  74  -573094.692826   1.124080
  75  -573094.692471   1.124435
  76  -573094.678822   1.138084
  77  -573094.675163   1.141743
  78  -573094.667183   1.149723
  79  -573094.658852   1.158054
  80  -573094.615853   1.201053
  81  -573094.606408   1.210498
  82  -573094.591767   1.225139
  83  -573094.578498   1.238408
  84  -573094.535015   1.281891
  85  -573094.486272   1.330634
  86  -573094.377176   1.439730
