# Relative energy hierarchy for Ac-Glu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -609842.22046   0.000000
   2  -609842.191984   0.028476
   3  -609842.169141   0.051319
   4  -609842.119281   0.101179
   5  -609842.073372   0.147088
   6  -609842.070549   0.149911
   7  -609842.059324   0.161136
   8  -609842.05813   0.162330
   9  -609842.036485   0.183975
  10  -609842.004853   0.215607
  11  -609841.981838   0.238622
  12  -609841.981266   0.239194
  13  -609841.964586   0.255874
  14  -609841.936099   0.284361
  15  -609841.911774   0.308686
  16  -609841.904442   0.316018
  17  -609841.847997   0.372463
  18  -609841.844632   0.375828
  19  -609841.801401   0.419059
  20  -609841.793541   0.426919
  21  -609841.764766   0.455694
  22  -609841.763518   0.456942
  23  -609841.742044   0.478416
  24  -609841.741188   0.479272
  25  -609841.738497   0.481963
  26  -609841.704916   0.515544
  27  -609841.701213   0.519247
  28  -609841.697997   0.522463
  29  -609841.6976   0.522860
  30  -609841.67206   0.548400
  31  -609841.664547   0.555913
  32  -609841.656119   0.564341
  33  -609841.647152   0.573308
  34  -609841.645246   0.575214
  35  -609841.638902   0.581558
  36  -609841.635727   0.584733
  37  -609841.629447   0.591013
  38  -609841.62802   0.592440
  39  -609841.58335   0.637110
  40  -609841.583311   0.637149
  41  -609841.568473   0.651987
  42  -609841.567825   0.652635
  43  -609841.567413   0.653047
  44  -609841.565944   0.654516
  45  -609841.504105   0.716355
  46  -609841.500593   0.719867
  47  -609841.499088   0.721372
  48  -609841.497379   0.723081
  49  -609841.495899   0.724561
  50  -609841.491876   0.728584
  51  -609841.469335   0.751125
  52  -609841.460639   0.759821
  53  -609841.435076   0.785384
  54  -609841.409084   0.811376
  55  -609841.404444   0.816016
  56  -609841.383605   0.836855
  57  -609841.358759   0.861701
  58  -609841.344419   0.876041
  59  -609841.311228   0.909232
  60  -609841.271464   0.948996
  61  -609841.24493   0.975530
  62  -609841.228694   0.991766
  63  -609841.172266   1.048194
  64  -609841.152819   1.067641
  65  -609841.150148   1.070312
  66  -609841.149483   1.070977
  67  -609841.1417   1.078760
  68  -609841.137993   1.082467
  69  -609841.13019   1.090270
  70  -609841.129604   1.090856
  71  -609841.091953   1.128507
  72  -609841.076305   1.144155
  73  -609841.07601   1.144450
  74  -609841.067447   1.153013
  75  -609841.057041   1.163419
  76  -609841.05479   1.165670
  77  -609841.050845   1.169615
  78  -609841.049848   1.170612
  79  -609840.99573   1.224730
  80  -609840.951796   1.268664
  81  -609840.950054   1.270406
  82  -609840.945071   1.275389
  83  -609840.943416   1.277044
  84  -609840.933781   1.286679
  85  -609840.924715   1.295745
  86  -609840.922072   1.298388
  87  -609840.897159   1.323301
  88  -609840.839406   1.381054
  89  -609840.837719   1.382741
  90  -609840.836489   1.383971
  91  -609840.818284   1.402176
  92  -609840.815747   1.404713
  93  -609840.788545   1.431915
  94  -609840.745617   1.474843
  95  -609840.647231   1.573229
