# Relative energy hierarchy for Ac-Glu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -106890.003571   0.000000
   2  -106889.897645   0.105926
   3  -106889.890333   0.113238
   4  -106889.860444   0.143127
   5  -106889.777243   0.226328
   6  -106889.774257   0.229314
   7  -106889.766616   0.236955
   8  -106889.74488   0.258691
   9  -106889.705364   0.298207
  10  -106889.651364   0.352207
  11  -106889.650413   0.353158
  12  -106889.627954   0.375617
  13  -106889.611632   0.391939
  14  -106889.553981   0.449590
  15  -106889.550563   0.453008
  16  -106889.538236   0.465335
  17  -106889.525871   0.477700
  18  -106889.493709   0.509862
  19  -106889.454773   0.548798
  20  -106889.436223   0.567348
  21  -106889.39426   0.609311
  22  -106889.277277   0.726294
  23  -106889.274343   0.729228
  24  -106889.272725   0.730846
  25  -106889.270008   0.733563
  26  -106889.232429   0.771142
  27  -106889.222003   0.781568
  28  -106889.212214   0.791357
  29  -106889.206234   0.797337
  30  -106889.194485   0.809086
  31  -106889.182343   0.821228
  32  -106889.167584   0.835987
  33  -106889.164688   0.838883
  34  -106889.159411   0.844160
  35  -106889.15219   0.851381
  36  -106889.151569   0.852002
  37  -106889.148331   0.855240
  38  -106889.135161   0.868410
  39  -106889.105628   0.897943
  40  -106889.104926   0.898645
  41  -106889.099165   0.904406
  42  -106889.093382   0.910189
  43  -106889.091721   0.911850
  44  -106889.081909   0.921662
  45  -106889.051414   0.952157
  46  -106889.032709   0.970862
  47  -106889.020861   0.982710
  48  -106889.016103   0.987468
  49  -106889.008069   0.995502
  50  -106889.006142   0.997429
  51  -106888.978024   1.025547
  52  -106888.94207   1.061501
  53  -106888.930192   1.073379
  54  -106888.929952   1.073619
  55  -106888.928002   1.075569
  56  -106888.899045   1.104526
  57  -106888.85245   1.151121
  58  -106888.822774   1.180797
  59  -106888.815572   1.187999
  60  -106888.811711   1.191860
  61  -106888.792016   1.211555
  62  -106888.790579   1.212992
  63  -106888.78169   1.221881
  64  -106888.779068   1.224503
  65  -106888.773114   1.230457
  66  -106888.77125   1.232321
  67  -106888.762482   1.241089
  68  -106888.749894   1.253677
  69  -106888.721287   1.282284
  70  -106888.718342   1.285229
  71  -106888.70626   1.297311
  72  -106888.703522   1.300049
  73  -106888.701588   1.301983
  74  -106888.694013   1.309558
  75  -106888.685605   1.317966
  76  -106888.684131   1.319440
  77  -106888.67768   1.325891
  78  -106888.675064   1.328507
  79  -106888.640657   1.362914
  80  -106888.638435   1.365136
  81  -106888.620205   1.383366
  82  -106888.61472   1.388851
  83  -106888.611604   1.391967
  84  -106888.586536   1.417035
  85  -106888.493277   1.510294
  86  -106888.490789   1.512782
  87  -106888.477816   1.525755
  88  -106888.474954   1.528617
  89  -106888.455185   1.548386
  90  -106888.400692   1.602879
  91  -106888.366422   1.637149
  92  -106888.304359   1.699212
  93  -106888.21381   1.789761
  94  -106888.059942   1.943629
