# Relative energy hierarchy for Ac-Glu-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -19698.6299998   0.000000
   2  -19698.6177481   0.012252
   3  -19698.6120467   0.017953
   4  -19698.5729086   0.057091
   5  -19698.5678239   0.062176
   6  -19698.5649558   0.065044
   7  -19698.5630248   0.066975
   8  -19698.5402496   0.089750
   9  -19698.52391   0.106090
  10  -19698.5149771   0.115023
  11  -19698.5143851   0.115615
  12  -19698.4894826   0.140517
  13  -19698.4850614   0.144938
  14  -19698.4831952   0.146805
  15  -19698.4828159   0.147184
  16  -19698.4792441   0.150756
  17  -19698.4768912   0.153109
  18  -19698.4676923   0.162307
  19  -19698.4550972   0.174903
  20  -19698.4544957   0.175504
  21  -19698.4506433   0.179357
  22  -19698.4505762   0.179424
  23  -19698.4498798   0.180120
  24  -19698.4494178   0.180582
  25  -19698.4427031   0.187297
  26  -19698.4361612   0.193839
  27  -19698.4353904   0.194609
  28  -19698.4347402   0.195260
  29  -19698.4337234   0.196276
  30  -19698.4319783   0.198022
  31  -19698.4274462   0.202554
  32  -19698.4269688   0.203031
  33  -19698.4235297   0.206470
  34  -19698.4230471   0.206953
  35  -19698.4226974   0.207302
  36  -19698.4226127   0.207387
  37  -19698.420415   0.209585
  38  -19698.4181333   0.211866
  39  -19698.4174512   0.212549
  40  -19698.4137083   0.216292
  41  -19698.4099104   0.220089
  42  -19698.4089042   0.221096
  43  -19698.4087646   0.221235
  44  -19698.4085996   0.221400
  45  -19698.4031367   0.226863
  46  -19698.4008451   0.229155
  47  -19698.3995997   0.230400
  48  -19698.3991213   0.230878
  49  -19698.3961136   0.233886
  50  -19698.39383   0.236170
  51  -19698.3921529   0.237847
  52  -19698.3919987   0.238001
  53  -19698.3919724   0.238027
  54  -19698.3881191   0.241881
  55  -19698.3877395   0.242260
  56  -19698.3830989   0.246901
  57  -19698.3798068   0.250193
  58  -19698.379616   0.250384
  59  -19698.3790583   0.250941
  60  -19698.3782901   0.251710
  61  -19698.3778504   0.252149
  62  -19698.3773647   0.252635
  63  -19698.3772516   0.252748
  64  -19698.3764867   0.253513
  65  -19698.3734788   0.256521
  66  -19698.3722188   0.257781
  67  -19698.3722015   0.257798
  68  -19698.3711088   0.258891
  69  -19698.3701238   0.259876
  70  -19698.3670323   0.262967
  71  -19698.3647426   0.265257
  72  -19698.364585   0.265415
  73  -19698.3627649   0.267235
  74  -19698.3583656   0.271634
  75  -19698.3576332   0.272367
  76  -19698.3546719   0.275328
  77  -19698.3544385   0.275561
  78  -19698.3544328   0.275567
  79  -19698.3536823   0.276318
  80  -19698.3526716   0.277328
  81  -19698.3520861   0.277914
  82  -19698.3511895   0.278810
  83  -19698.3508228   0.279177
  84  -19698.3498963   0.280104
  85  -19698.3482496   0.281750
  86  -19698.34781   0.282190
  87  -19698.3476533   0.282347
  88  -19698.3463907   0.283609
  89  -19698.3457245   0.284275
  90  -19698.3447518   0.285248
  91  -19698.3443989   0.285601
  92  -19698.3423001   0.287700
  93  -19698.3401859   0.289814
  94  -19698.3379806   0.292019
  95  -19698.3376749   0.292325
  96  -19698.3363834   0.293616
  97  -19698.3344788   0.295521
  98  -19698.3312167   0.298783
  99  -19698.3309201   0.299080
 100  -19698.3302935   0.299706
 101  -19698.3293135   0.300686
 102  -19698.329246   0.300754
 103  -19698.3277272   0.302273
 104  -19698.324793   0.305207
 105  -19698.3247467   0.305253
 106  -19698.3247109   0.305289
 107  -19698.3242414   0.305758
 108  -19698.3231539   0.306846
 109  -19698.3230721   0.306928
 110  -19698.322325   0.307675
 111  -19698.3212987   0.308701
 112  -19698.3208169   0.309183
 113  -19698.3207868   0.309213
 114  -19698.3206691   0.309331
 115  -19698.3193563   0.310644
 116  -19698.312582   0.317418
 117  -19698.3120688   0.317931
 118  -19698.3114198   0.318580
 119  -19698.3105849   0.319415
 120  -19698.310243   0.319757
 121  -19698.3097837   0.320216
 122  -19698.3060729   0.323927
 123  -19698.3052717   0.324728
 124  -19698.3031102   0.326890
 125  -19698.3017713   0.328228
 126  -19698.2979225   0.332077
 127  -19698.2960765   0.333923
 128  -19698.2944289   0.335571
 129  -19698.2940857   0.335914
 130  -19698.2935943   0.336405
 131  -19698.2928607   0.337139
 132  -19698.2904178   0.339582
 133  -19698.2903663   0.339633
 134  -19698.2903003   0.339700
 135  -19698.2901672   0.339833
 136  -19698.2886462   0.341354
 137  -19698.2878524   0.342147
 138  -19698.2872534   0.342746
 139  -19698.2872034   0.342796
 140  -19698.2871725   0.342827
 141  -19698.2855564   0.344443
 142  -19698.28343   0.346570
 143  -19698.2824906   0.347509
 144  -19698.2798652   0.350135
 145  -19698.2787473   0.351253
 146  -19698.2759228   0.354077
 147  -19698.2755548   0.354445
 148  -19698.2751909   0.354809
 149  -19698.2703286   0.359671
 150  -19698.270309   0.359691
 151  -19698.2702998   0.359700
 152  -19698.2702749   0.359725
 153  -19698.2702451   0.359755
 154  -19698.269839   0.360161
 155  -19698.2696182   0.360382
 156  -19698.2680444   0.361955
 157  -19698.2678587   0.362141
 158  -19698.2653458   0.364654
 159  -19698.2645178   0.365482
 160  -19698.2624934   0.367506
 161  -19698.2603588   0.369641
 162  -19698.2557654   0.374234
 163  -19698.2526416   0.377358
 164  -19698.252312   0.377688
 165  -19698.2508876   0.379112
 166  -19698.2492812   0.380719
 167  -19698.2487358   0.381264
 168  -19698.2479236   0.382076
 169  -19698.2438025   0.386197
 170  -19698.2431577   0.386842
 171  -19698.242894   0.387106
 172  -19698.2421684   0.387831
 173  -19698.2420924   0.387907
 174  -19698.2408406   0.389159
 175  -19698.2398487   0.390151
 176  -19698.2397778   0.390222
 177  -19698.2395297   0.390470
 178  -19698.2391889   0.390811
 179  -19698.2382641   0.391736
 180  -19698.2377622   0.392238
 181  -19698.2371781   0.392822
 182  -19698.2371105   0.392889
 183  -19698.2333045   0.396695
 184  -19698.231138   0.398862
 185  -19698.2301085   0.399891
 186  -19698.2296741   0.400326
 187  -19698.2279236   0.402076
 188  -19698.2254085   0.404591
 189  -19698.2251427   0.404857
 190  -19698.2245758   0.405424
 191  -19698.2242365   0.405763
 192  -19698.223382   0.406618
 193  -19698.2233734   0.406626
 194  -19698.2222299   0.407770
 195  -19698.220243   0.409757
 196  -19698.2194302   0.410570
 197  -19698.2191053   0.410895
 198  -19698.2108257   0.419174
 199  -19698.2101079   0.419892
 200  -19698.2100471   0.419953
 201  -19698.2097469   0.420253
 202  -19698.2095732   0.420427
 203  -19698.2095609   0.420439
 204  -19698.2088651   0.421135
 205  -19698.2070894   0.422910
 206  -19698.2052776   0.424722
 207  -19698.2043481   0.425652
 208  -19698.2042258   0.425774
 209  -19698.2040256   0.425974
 210  -19698.202703   0.427297
 211  -19698.2021459   0.427854
 212  -19698.2000816   0.429918
