# Relative energy hierarchy for Glu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -240153.171391   0.000000
   2  -240153.165713   0.005678
   3  -240153.115241   0.056150
   4  -240153.041385   0.130006
   5  -240153.016612   0.154779
   6  -240152.962499   0.208892
   7  -240152.948873   0.222518
   8  -240152.923666   0.247725
   9  -240152.904687   0.266704
  10  -240152.856935   0.314456
  11  -240152.853613   0.317778
  12  -240152.796924   0.374467
  13  -240152.77811   0.393281
  14  -240152.753676   0.417715
  15  -240152.748302   0.423089
  16  -240152.733004   0.438387
  17  -240152.732463   0.438928
  18  -240152.725958   0.445433
  19  -240152.722208   0.449183
  20  -240152.705323   0.466068
  21  -240152.700733   0.470658
  22  -240152.685774   0.485617
  23  -240152.685533   0.485858
  24  -240152.670729   0.500662
  25  -240152.66273   0.508661
  26  -240152.624199   0.547192
  27  -240152.617336   0.554055
  28  -240152.615152   0.556239
  29  -240152.602355   0.569036
  30  -240152.563962   0.607429
  31  -240152.506545   0.664846
  32  -240152.489846   0.681545
  33  -240152.468041   0.703350
  34  -240152.457377   0.714014
  35  -240152.435228   0.736163
  36  -240152.417733   0.753658
  37  -240152.415388   0.756003
  38  -240152.404252   0.767139
  39  -240152.357357   0.814034
  40  -240152.354161   0.817230
  41  -240152.345979   0.825412
  42  -240152.293387   0.878004
  43  -240152.268355   0.903036
  44  -240152.254254   0.917137
  45  -240152.216349   0.955042
  46  -240152.208028   0.963363
  47  -240152.165677   1.005714
  48  -240152.134496   1.036895
  49  -240152.045502   1.125889
  50  -240151.949832   1.221559
  51  -240151.946304   1.225087
  52  -240151.941252   1.230139
  53  -240151.927216   1.244175
  54  -240151.917008   1.254383
  55  -240151.906156   1.265235
  56  -240151.888299   1.283092
  57  -240151.878405   1.292986
  58  -240151.869005   1.302386
  59  -240151.86704   1.304351
  60  -240151.840959   1.330432
  61  -240151.823358   1.348033
  62  -240151.81226   1.359131
  63  -240151.802925   1.368466
  64  -240151.793066   1.378325
  65  -240151.767025   1.404366
  66  -240151.764752   1.406639
  67  -240151.762395   1.408996
  68  -240151.707166   1.464225
  69  -240151.673551   1.497840
  70  -240151.669732   1.501659
  71  -240151.598879   1.572512
  72  -240151.543678   1.627713
  73  -240151.530476   1.640915
  74  -240151.530267   1.641124
  75  -240151.52991   1.641481
  76  -240151.526763   1.644628
  77  -240151.510648   1.660743
  78  -240151.502222   1.669169
  79  -240151.485971   1.685420
  80  -240151.473222   1.698169
  81  -240151.465002   1.706389
  82  -240151.453243   1.718148
  83  -240151.451908   1.719483
  84  -240151.444809   1.726582
  85  -240151.435771   1.735620
  86  -240151.416999   1.754392
  87  -240151.313705   1.857686
  88  -240151.21685   1.954541
  89  -240151.175915   1.995476
  90  -240151.165594   2.005797
  91  -240151.152818   2.018573
  92  -240151.127467   2.043924
