# Relative energy hierarchy for Glu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -33560.2938117   0.000000
   2  -33560.2768158   0.016996
   3  -33560.1906114   0.103200
   4  -33560.1870478   0.106764
   5  -33560.1312134   0.162598
   6  -33560.0920024   0.201809
   7  -33560.0849007   0.208911
   8  -33559.9886138   0.305198
   9  -33559.9699637   0.323848
  10  -33559.8755474   0.418264
  11  -33559.8613561   0.432456
  12  -33559.8483992   0.445413
  13  -33559.8134597   0.480352
  14  -33559.7847533   0.509058
  15  -33559.7517864   0.542025
  16  -33559.7444213   0.549390
  17  -33559.7424757   0.551336
  18  -33559.7169972   0.576815
  19  -33559.7163269   0.577485
  20  -33559.6919823   0.601829
  21  -33559.6794463   0.614365
  22  -33559.663166   0.630646
  23  -33559.610655   0.683157
  24  -33559.6074105   0.686401
  25  -33559.5931014   0.700710
  26  -33559.5889094   0.704902
  27  -33559.5847833   0.709028
  28  -33559.5813636   0.712448
  29  -33559.4871026   0.806709
  30  -33559.4421567   0.851655
  31  -33559.4067835   0.887028
  32  -33559.3422675   0.951544
  33  -33559.3407198   0.953092
  34  -33559.337523   0.956289
  35  -33559.3283291   0.965483
  36  -33559.3225454   0.971266
  37  -33559.3173824   0.976429
  38  -33559.2616039   1.032208
  39  -33559.2437437   1.050068
  40  -33559.2325915   1.061220
  41  -33559.2012424   1.092569
  42  -33559.161201   1.132611
  43  -33559.1463639   1.147448
  44  -33559.1263884   1.167423
  45  -33559.0752088   1.218603
  46  -33559.0305325   1.263279
  47  -33559.0071762   1.286636
  48  -33558.9570562   1.336756
  49  -33558.9558115   1.338000
  50  -33558.9451293   1.348682
  51  -33558.9322308   1.361581
  52  -33558.8602443   1.433567
  53  -33558.7714994   1.522312
  54  -33558.7704144   1.523397
  55  -33558.7516407   1.542171
  56  -33558.7407475   1.553064
  57  -33558.7395501   1.554262
  58  -33558.7199005   1.573911
  59  -33558.7132572   1.580555
  60  -33558.6890124   1.604799
  61  -33558.6848277   1.608984
  62  -33558.6836569   1.610155
  63  -33558.6663278   1.627484
  64  -33558.6486517   1.645160
  65  -33558.6427629   1.651049
  66  -33558.6199401   1.673872
  67  -33558.6045449   1.689267
  68  -33558.6021397   1.691672
  69  -33558.5969578   1.696854
  70  -33558.5748323   1.718979
  71  -33558.5739588   1.719853
  72  -33558.5646458   1.729166
  73  -33558.5558545   1.737957
  74  -33558.550649   1.743163
  75  -33558.5148904   1.778921
  76  -33558.5073748   1.786437
  77  -33558.3964409   1.897371
  78  -33558.3892767   1.904535
  79  -33558.3610879   1.932724
  80  -33558.3486837   1.945128
  81  -33558.3342856   1.959526
  82  -33558.3316247   1.962187
  83  -33558.3222656   1.971546
  84  -33558.3006647   1.993147
  85  -33558.2985088   1.995303
  86  -33558.2974831   1.996329
  87  -33558.289115   2.004697
  88  -33558.2879511   2.005861
  89  -33558.2728463   2.020965
  90  -33558.1759594   2.117852
  91  -33558.1661463   2.127665
  92  -33558.1433375   2.150474
  93  -33557.7903035   2.503508
  94  -33557.6968439   2.596968
  95  -33557.6804471   2.613365
  96  -33557.6776796   2.616132
  97  -33557.6176113   2.676200
  98  -33557.3243849   2.969427
  99  -33557.3162386   2.977573
 100  -33557.226553   3.067259
 101  -33557.1383505   3.155461
 102  -33557.1323738   3.161438
