# Relative energy hierarchy for Glu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -169133.82339   0.000000
   2  -169133.727356   0.096034
   3  -169133.618094   0.205296
   4  -169133.543205   0.280185
   5  -169133.529485   0.293905
   6  -169133.517777   0.305613
   7  -169133.504543   0.318847
   8  -169133.453244   0.370146
   9  -169133.427914   0.395476
  10  -169133.376407   0.446983
  11  -169133.34754   0.475850
  12  -169133.347115   0.476275
  13  -169133.310002   0.513388
  14  -169133.299549   0.523841
  15  -169133.298797   0.524593
  16  -169133.273938   0.549452
  17  -169133.250247   0.573143
  18  -169133.23016   0.593230
  19  -169133.226543   0.596847
  20  -169133.221097   0.602293
  21  -169133.217889   0.605501
  22  -169133.217074   0.606316
  23  -169133.209843   0.613547
  24  -169133.194911   0.628479
  25  -169133.109912   0.713478
  26  -169133.103558   0.719832
  27  -169133.046966   0.776424
  28  -169133.029307   0.794083
  29  -169133.01414   0.809250
  30  -169132.919983   0.903407
  31  -169132.910079   0.913311
  32  -169132.908196   0.915194
  33  -169132.890834   0.932556
  34  -169132.88088   0.942510
  35  -169132.877135   0.946255
  36  -169132.858637   0.964753
  37  -169132.855426   0.967964
  38  -169132.848392   0.974998
  39  -169132.831003   0.992387
  40  -169132.786723   1.036667
  41  -169132.777681   1.045709
  42  -169132.752923   1.070467
  43  -169132.736781   1.086609
  44  -169132.702613   1.120777
  45  -169132.679946   1.143444
  46  -169132.676969   1.146421
  47  -169132.647964   1.175426
  48  -169132.602901   1.220489
  49  -169132.599065   1.224325
  50  -169132.582035   1.241355
  51  -169132.568709   1.254681
  52  -169132.54951   1.273880
  53  -169132.536982   1.286408
  54  -169132.503035   1.320355
  55  -169132.482682   1.340708
  56  -169132.474153   1.349237
  57  -169132.466723   1.356667
  58  -169132.447664   1.375726
  59  -169132.446641   1.376749
  60  -169132.425661   1.397729
  61  -169132.420492   1.402898
  62  -169132.408314   1.415076
  63  -169132.405434   1.417956
  64  -169132.393306   1.430084
  65  -169132.381396   1.441994
  66  -169132.350374   1.473016
  67  -169132.300585   1.522805
  68  -169132.281864   1.541526
  69  -169132.267481   1.555909
  70  -169132.26735   1.556040
  71  -169132.262574   1.560816
  72  -169132.246575   1.576815
  73  -169132.236271   1.587119
  74  -169132.13314   1.690250
  75  -169132.130602   1.692788
  76  -169132.109136   1.714254
  77  -169132.043712   1.779678
  78  -169131.911746   1.911644
  79  -169131.903645   1.919745
  80  -169131.900584   1.922806
  81  -169131.899281   1.924109
  82  -169131.868362   1.955028
  83  -169131.809582   2.013808
  84  -169131.799634   2.023756
  85  -169131.79264   2.030750
  86  -169131.788097   2.035293
  87  -169131.764802   2.058588
  88  -169131.675945   2.147445
  89  -169131.669601   2.153789
  90  -169131.666051   2.157339
  91  -169131.664898   2.158492
  92  -169131.66249   2.160900
  93  -169131.462894   2.360496
