# Relative energy hierarchy for Glu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -568412.1307   0.000000
   2  -568412.060602   0.070098
   3  -568412.01376   0.116940
   4  -568411.975661   0.155039
   5  -568411.972684   0.158016
   6  -568411.967115   0.163585
   7  -568411.944347   0.186353
   8  -568411.928006   0.202694
   9  -568411.914608   0.216092
  10  -568411.908724   0.221976
  11  -568411.898641   0.232059
  12  -568411.890488   0.240212
  13  -568411.865055   0.265645
  14  -568411.842949   0.287751
  15  -568411.829198   0.301502
  16  -568411.815907   0.314793
  17  -568411.809069   0.321631
  18  -568411.794116   0.336584
  19  -568411.794069   0.336631
  20  -568411.793558   0.337142
  21  -568411.785188   0.345512
  22  -568411.784584   0.346116
  23  -568411.783168   0.347532
  24  -568411.765874   0.364826
  25  -568411.764441   0.366259
  26  -568411.762841   0.367859
  27  -568411.758612   0.372088
  28  -568411.756295   0.374405
  29  -568411.727488   0.403212
  30  -568411.695312   0.435388
  31  -568411.666184   0.464516
  32  -568411.662679   0.468021
  33  -568411.656933   0.473767
  34  -568411.614211   0.516489
  35  -568411.601124   0.529576
  36  -568411.598552   0.532148
  37  -568411.591451   0.539249
  38  -568411.57149   0.559210
  39  -568411.567001   0.563699
  40  -568411.563055   0.567645
  41  -568411.547771   0.582929
  42  -568411.543902   0.586798
  43  -568411.524737   0.605963
  44  -568411.505359   0.625341
  45  -568411.50401   0.626690
  46  -568411.502742   0.627958
  47  -568411.488399   0.642301
  48  -568411.486398   0.644302
  49  -568411.471159   0.659541
  50  -568411.437617   0.693083
  51  -568411.432276   0.698424
  52  -568411.418948   0.711752
  53  -568411.409921   0.720779
  54  -568411.374631   0.756069
  55  -568411.333344   0.797356
  56  -568411.324957   0.805743
  57  -568411.313664   0.817036
  58  -568411.308545   0.822155
  59  -568411.306575   0.824125
  60  -568411.296566   0.834134
  61  -568411.277532   0.853168
  62  -568411.219237   0.911463
  63  -568410.995778   1.134922
  64  -568410.930951   1.199749
  65  -568410.913623   1.217077
  66  -568410.89461   1.236090
  67  -568410.894307   1.236393
  68  -568410.890189   1.240511
  69  -568410.882006   1.248694
  70  -568410.84659   1.284110
  71  -568410.713301   1.417399
  72  -568410.67018   1.460520
  73  -568410.651897   1.478803
  74  -568410.508921   1.621779
  75  -568410.472825   1.657875
  76  -568410.43645   1.694250
  77  -568410.247065   1.883635
