# Relative energy hierarchy for Glu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -605158.513097   0.000000
   2  -605158.492801   0.020296
   3  -605158.474316   0.038781
   4  -605158.443182   0.069915
   5  -605158.380102   0.132995
   6  -605158.361421   0.151676
   7  -605158.287899   0.225198
   8  -605158.285499   0.227598
   9  -605158.204202   0.308895
  10  -605158.203427   0.309670
  11  -605158.198871   0.314226
  12  -605158.198246   0.314851
  13  -605158.155092   0.358005
  14  -605158.152464   0.360633
  15  -605158.137552   0.375545
  16  -605158.118305   0.394792
  17  -605158.113534   0.399563
  18  -605158.103042   0.410055
  19  -605158.101977   0.411120
  20  -605158.084552   0.428545
  21  -605158.057828   0.455269
  22  -605158.012485   0.500612
  23  -605157.996038   0.517059
  24  -605157.972062   0.541035
  25  -605157.964014   0.549083
  26  -605157.962059   0.551038
  27  -605157.882483   0.630614
  28  -605157.858404   0.654693
  29  -605157.813142   0.699955
  30  -605157.789991   0.723106
  31  -605157.777243   0.735854
  32  -605157.765236   0.747861
  33  -605157.758229   0.754868
  34  -605157.748689   0.764408
  35  -605157.745209   0.767888
  36  -605157.742736   0.770361
  37  -605157.740403   0.772694
  38  -605157.596803   0.916294
  39  -605157.525662   0.987435
  40  -605157.499146   1.013951
  41  -605157.436438   1.076659
  42  -605157.364017   1.149080
  43  -605157.331637   1.181460
  44  -605157.312533   1.200564
  45  -605157.279136   1.233961
  46  -605157.267261   1.245836
  47  -605157.256439   1.256658
  48  -605157.255918   1.257179
  49  -605157.170471   1.342626
  50  -605157.148883   1.364214
  51  -605157.146952   1.366145
  52  -605157.145552   1.367545
  53  -605157.141364   1.371733
  54  -605157.126376   1.386721
  55  -605157.122505   1.390592
  56  -605157.120469   1.392628
  57  -605157.102896   1.410201
  58  -605157.076899   1.436198
  59  -605157.068182   1.444915
  60  -605157.066383   1.446714
  61  -605157.0377   1.475397
  62  -605157.036692   1.476405
  63  -605157.035393   1.477704
  64  -605157.011132   1.501965
  65  -605157.009178   1.503919
  66  -605157.001648   1.511449
  67  -605156.992032   1.521065
  68  -605156.986783   1.526314
  69  -605156.977918   1.535179
  70  -605156.969666   1.543431
  71  -605156.962366   1.550731
  72  -605156.949278   1.563819
  73  -605156.948827   1.564270
  74  -605156.930199   1.582898
  75  -605156.905223   1.607874
  76  -605156.801584   1.711513
  77  -605156.76381   1.749287
  78  -605156.742639   1.770458
  79  -605156.728346   1.784751
  80  -605156.716114   1.796983
  81  -605156.704776   1.808321
  82  -605156.70277   1.810327
  83  -605156.657402   1.855695
  84  -605156.650148   1.862949
  85  -605156.484835   2.028262
  86  -605156.128687   2.384410
  87  -605156.111362   2.401735
  88  -605156.09778   2.415317
  89  -605156.070164   2.442933
  90  -605156.050043   2.463054
  91  -605156.038198   2.474899
  92  -605155.650401   2.862696
