# Relative energy hierarchy for Glu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -102206.042947   0.000000
   2  -102206.034457   0.008490
   3  -102205.964329   0.078618
   4  -102205.917067   0.125880
   5  -102205.900591   0.142356
   6  -102205.834434   0.208513
   7  -102205.819704   0.223243
   8  -102205.734858   0.308089
   9  -102205.732206   0.310741
  10  -102205.680042   0.362905
  11  -102205.623945   0.419002
  12  -102205.617862   0.425085
  13  -102205.608793   0.434154
  14  -102205.59774   0.445207
  15  -102205.528263   0.514684
  16  -102205.518599   0.524348
  17  -102205.500397   0.542550
  18  -102205.499988   0.542959
  19  -102205.492579   0.550368
  20  -102205.49087   0.552077
  21  -102205.485434   0.557513
  22  -102205.477433   0.565514
  23  -102205.472973   0.569974
  24  -102205.464058   0.578889
  25  -102205.448736   0.594211
  26  -102205.446238   0.596709
  27  -102205.44211   0.600837
  28  -102205.374106   0.668841
  29  -102205.366204   0.676743
  30  -102205.345563   0.697384
  31  -102205.270702   0.772245
  32  -102205.269323   0.773624
  33  -102205.239733   0.803214
  34  -102205.205539   0.837408
  35  -102205.195131   0.847816
  36  -102205.18561   0.857337
  37  -102205.175332   0.867615
  38  -102205.121599   0.921348
  39  -102205.11509   0.927857
  40  -102205.113747   0.929200
  41  -102205.098336   0.944611
  42  -102205.050729   0.992218
  43  -102205.043965   0.998982
  44  -102205.037875   1.005072
  45  -102204.981451   1.061496
  46  -102204.972568   1.070379
  47  -102204.909735   1.133212
  48  -102204.885545   1.157402
  49  -102204.859382   1.183565
  50  -102204.858524   1.184423
  51  -102204.804825   1.238122
  52  -102204.661291   1.381656
  53  -102204.640351   1.402596
  54  -102204.637093   1.405854
  55  -102204.636229   1.406718
  56  -102204.614308   1.428639
  57  -102204.599771   1.443176
  58  -102204.588395   1.454552
  59  -102204.578056   1.464891
  60  -102204.574706   1.468241
  61  -102204.563293   1.479654
  62  -102204.546455   1.496492
  63  -102204.535602   1.507345
  64  -102204.514166   1.528781
  65  -102204.496025   1.546922
  66  -102204.465237   1.577710
  67  -102204.460259   1.582688
  68  -102204.457813   1.585134
  69  -102204.424207   1.618740
  70  -102204.398379   1.644568
  71  -102204.370351   1.672596
  72  -102204.365289   1.677658
  73  -102204.301897   1.741050
  74  -102204.216639   1.826308
  75  -102204.207491   1.835456
  76  -102204.202728   1.840219
  77  -102204.19474   1.848207
  78  -102204.1898   1.853147
  79  -102204.171956   1.870991
  80  -102204.169353   1.873594
  81  -102204.161558   1.881389
  82  -102204.155496   1.887451
  83  -102204.147558   1.895389
  84  -102204.144532   1.898415
  85  -102204.140531   1.902416
  86  -102204.133458   1.909489
  87  -102204.097052   1.945895
  88  -102203.989398   2.053549
  89  -102203.745987   2.296960
  90  -102203.719445   2.323502
  91  -102203.711433   2.331514
  92  -102203.701358   2.341589
  93  -102203.487112   2.555835
  94  -102203.361233   2.681714
  95  -102203.352581   2.690366
