# Relative energy hierarchy for Glu conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -15015.7626711   0.000000
   2  -15015.7366636   0.026007
   3  -15015.7351658   0.027505
   4  -15015.6946862   0.067985
   5  -15015.692532   0.070139
   6  -15015.6867948   0.075876
   7  -15015.6736723   0.088999
   8  -15015.6626819   0.099989
   9  -15015.6605934   0.102078
  10  -15015.6500394   0.112632
  11  -15015.6469495   0.115722
  12  -15015.6466236   0.116047
  13  -15015.6412923   0.121379
  14  -15015.6410782   0.121593
  15  -15015.638933   0.123738
  16  -15015.6368917   0.125779
  17  -15015.6342781   0.128393
  18  -15015.6336227   0.129048
  19  -15015.6323256   0.130345
  20  -15015.6247833   0.137888
  21  -15015.6230624   0.139609
  22  -15015.6206475   0.142024
  23  -15015.6133044   0.149367
  24  -15015.6091725   0.153499
  25  -15015.6053901   0.157281
  26  -15015.5982718   0.164399
  27  -15015.5937276   0.168943
  28  -15015.5933927   0.169278
  29  -15015.592764   0.169907
  30  -15015.5924711   0.170200
  31  -15015.591421   0.171250
  32  -15015.5906024   0.172069
  33  -15015.5898206   0.172850
  34  -15015.5888889   0.173782
  35  -15015.5885895   0.174082
  36  -15015.5864049   0.176266
  37  -15015.5860613   0.176610
  38  -15015.5860498   0.176621
  39  -15015.5857785   0.176893
  40  -15015.5853464   0.177325
  41  -15015.5847508   0.177920
  42  -15015.5822415   0.180430
  43  -15015.5809256   0.181746
  44  -15015.5789614   0.183710
  45  -15015.5761487   0.186522
  46  -15015.5756136   0.187057
  47  -15015.5727568   0.189914
  48  -15015.570953   0.191718
  49  -15015.5703298   0.192341
  50  -15015.5702221   0.192449
  51  -15015.5696735   0.192998
  52  -15015.5610585   0.201613
  53  -15015.5610058   0.201665
  54  -15015.5609026   0.201768
  55  -15015.5586639   0.204007
  56  -15015.5572091   0.205462
  57  -15015.556989   0.205682
  58  -15015.5560018   0.206669
  59  -15015.5555362   0.207135
  60  -15015.5547303   0.207941
  61  -15015.550922   0.211749
  62  -15015.5503564   0.212315
  63  -15015.5492571   0.213414
  64  -15015.5491185   0.213553
  65  -15015.5485201   0.214151
  66  -15015.5461392   0.216532
  67  -15015.5434879   0.219183
  68  -15015.5427191   0.219952
  69  -15015.5425538   0.220117
  70  -15015.539664   0.223007
  71  -15015.5389217   0.223749
  72  -15015.5386613   0.224010
  73  -15015.538484   0.224187
  74  -15015.5379503   0.224721
  75  -15015.5367444   0.225927
  76  -15015.5350047   0.227666
  77  -15015.533557   0.229114
  78  -15015.5318277   0.230843
  79  -15015.531764   0.230907
  80  -15015.5313969   0.231274
  81  -15015.531095   0.231576
  82  -15015.5306174   0.232054
  83  -15015.5299038   0.232767
  84  -15015.5291299   0.233541
  85  -15015.528818   0.233853
  86  -15015.5283542   0.234317
  87  -15015.5281997   0.234471
  88  -15015.5280896   0.234581
  89  -15015.5280697   0.234601
  90  -15015.527334   0.235337
  91  -15015.5272884   0.235383
  92  -15015.5235314   0.239140
  93  -15015.522618   0.240053
  94  -15015.5211966   0.241474
  95  -15015.5208877   0.241783
  96  -15015.5173488   0.245322
  97  -15015.5158119   0.246859
  98  -15015.5157051   0.246966
  99  -15015.5155704   0.247101
 100  -15015.515114   0.247557
 101  -15015.5145329   0.248138
 102  -15015.5140888   0.248582
 103  -15015.5126376   0.250033
 104  -15015.5110471   0.251624
 105  -15015.5098016   0.252870
 106  -15015.5097092   0.252962
 107  -15015.509434   0.253237
 108  -15015.5044545   0.258217
 109  -15015.5041512   0.258520
 110  -15015.5036549   0.259016
 111  -15015.5033336   0.259337
 112  -15015.5031092   0.259562
 113  -15015.5028001   0.259871
 114  -15015.5014252   0.261246
 115  -15015.501019   0.261652
 116  -15015.5006492   0.262022
 117  -15015.4980255   0.264646
 118  -15015.4975351   0.265136
 119  -15015.4959883   0.266683
 120  -15015.4953642   0.267307
 121  -15015.4951742   0.267497
 122  -15015.4950692   0.267602
 123  -15015.49105   0.271621
 124  -15015.4884005   0.274271
 125  -15015.4872294   0.275442
 126  -15015.4866784   0.275993
 127  -15015.4843034   0.278368
 128  -15015.4842611   0.278410
 129  -15015.4842416   0.278430
 130  -15015.4820995   0.280572
 131  -15015.4820277   0.280643
 132  -15015.4819778   0.280693
 133  -15015.4796742   0.282997
 134  -15015.4791194   0.283552
 135  -15015.478179   0.284492
 136  -15015.4779368   0.284734
 137  -15015.4774723   0.285199
 138  -15015.4770097   0.285661
 139  -15015.4754408   0.287230
 140  -15015.4739938   0.288677
 141  -15015.4736894   0.288982
 142  -15015.472542   0.290129
 143  -15015.4717156   0.290955
 144  -15015.4709153   0.291756
 145  -15015.4659205   0.296751
 146  -15015.4647188   0.297952
 147  -15015.4627731   0.299898
 148  -15015.4591229   0.303548
 149  -15015.4585256   0.304146
 150  -15015.4573405   0.305331
 151  -15015.4562782   0.306393
 152  -15015.4559843   0.306687
 153  -15015.4556437   0.307027
 154  -15015.4518574   0.310814
 155  -15015.4504292   0.312242
 156  -15015.4500404   0.312631
 157  -15015.4478893   0.314782
 158  -15015.4466355   0.316036
 159  -15015.4446821   0.317989
 160  -15015.4433052   0.319366
 161  -15015.4319442   0.330727
 162  -15015.4265247   0.336146
 163  -15015.4224063   0.340265
 164  -15015.4134139   0.349257
 165  -15015.4124423   0.350229
 166  -15015.4122261   0.350445
 167  -15015.3974696   0.365201
 168  -15015.38401   0.378661
 169  -15015.3778358   0.384835
 170  -15015.3735724   0.389099
 171  -15015.3728137   0.389857
 172  -15015.3707259   0.391945
 173  -15015.3687923   0.393879
 174  -15015.3686031   0.394068
 175  -15015.3670919   0.395579
 176  -15015.367036   0.395635
 177  -15015.364267   0.398404
 178  -15015.3474706   0.415200
 179  -15015.345236   0.417435
 180  -15015.3437333   0.418938
 181  -15015.3263777   0.436293
 182  -15015.3239366   0.438734
 183  -15015.3181301   0.444541
 184  -15015.3125125   0.450159
 185  -15015.3113641   0.451307
 186  -15015.3065743   0.456097
 187  -15015.3020254   0.460646
 188  -15015.2996204   0.463051
 189  -15015.2979666   0.464705
 190  -15015.2928595   0.469812
 191  -15015.2886036   0.474067
 192  -15015.2879926   0.474678
 193  -15015.2851431   0.477528
 194  -15015.274155   0.488516
 195  -15015.221258   0.541413
 196  -15015.2119148   0.550756
 197  -15015.1477187   0.614952
