# Relative energy hierarchy for Ac-Gly-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -237562.813107   0.000000
   2  -237562.812881   0.000226
   3  -237562.724584   0.088523
   4  -237562.724257   0.088850
   5  -237562.210467   0.602640
   6  -237562.20968   0.603427
   7  -237562.187216   0.625891
   8  -237562.18635   0.626757
   9  -237561.639329   1.173778
  10  -237561.638404   1.174703
  11  -237561.57801   1.235097
  12  -237561.57679   1.236317
  13  -237561.502451   1.310656
  14  -237561.451556   1.361551
  15  -237561.419669   1.393438
  16  -237561.405552   1.407555
  17  -237561.403536   1.409571
  18  -237561.277094   1.536013
