# Relative energy hierarchy for Ac-Gly-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -30969.8325511   0.000000
   2  -30969.83228   0.000271
   3  -30969.7418353   0.090716
   4  -30969.741263   0.091288
   5  -30969.7412008   0.091350
   6  -30969.1121542   0.720397
   7  -30969.0877448   0.744806
   8  -30969.0869468   0.745604
   9  -30969.0837689   0.748782
  10  -30968.2302571   1.602294
  11  -30968.2190886   1.613463
  12  -30968.1741907   1.658360
  13  -30968.1664629   1.666088
  14  -30968.1601686   1.672383
  15  -30968.1246784   1.707873
  16  -30968.118046   1.714505
  17  -30968.0914995   1.741052
  18  -30968.0902595   1.742292
  19  -30968.0856082   1.746943
  20  -30968.005529   1.827022
  21  -30967.9778988   1.854652
  22  -30967.9595667   1.872984
