# Relative energy hierarchy for Ac-Gly-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -166543.001083   0.000000
   2  -166543.000533   0.000550
   3  -166542.900944   0.100139
   4  -166542.289688   0.711395
   5  -166542.288844   0.712239
   6  -166542.208964   0.792119
   7  -166542.208458   0.792625
   8  -166542.152098   0.848985
   9  -166541.815736   1.185347
  10  -166541.718476   1.282607
  11  -166541.695087   1.305996
  12  -166541.649809   1.351274
  13  -166541.622713   1.378370
  14  -166541.551953   1.449130
