# Relative energy hierarchy for Ac-Gly-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -602568.017831   0.000000
   2  -602568.017684   0.000147
   3  -602567.927012   0.090819
   4  -602567.926814   0.091017
   5  -602567.304195   0.713636
   6  -602567.279561   0.738270
   7  -602567.279317   0.738514
   8  -602566.643675   1.374156
   9  -602566.590906   1.426925
  10  -602566.583926   1.433905
  11  -602566.543261   1.474570
  12  -602566.534843   1.482988
  13  -602566.513284   1.504547
  14  -602566.471271   1.546560
  15  -602566.468492   1.549339
  16  -602566.458273   1.559558
  17  -602566.414744   1.603087
  18  -602566.367234   1.650597
  19  -602566.362854   1.654977
