# Relative energy hierarchy for Ac-Gly-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -99615.6109741   0.000000
   2  -99615.6107944   0.000180
   3  -99615.5213323   0.089642
   4  -99615.5210963   0.089878
   5  -99615.5203275   0.090647
   6  -99614.956429   0.654545
   7  -99614.9557411   0.655233
   8  -99614.9330186   0.677955
   9  -99614.9324945   0.678480
  10  -99614.1955247   1.415449
  11  -99614.1932657   1.417708
  12  -99614.1335863   1.477388
  13  -99614.1308501   1.480124
  14  -99614.0570155   1.553959
  15  -99614.0367855   1.574189
  16  -99613.9898196   1.621154
  17  -99613.9885289   1.622445
  18  -99613.9740078   1.636966
  19  -99613.8524773   1.758497
