# Relative energy hierarchy for Ac-Gly-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -12425.3286183   0.000000
   2  -12425.3285506   0.000068
   3  -12425.2810032   0.047615
   4  -12425.2740435   0.054575
   5  -12425.2602569   0.068361
   6  -12425.2340984   0.094520
   7  -12425.2335598   0.095058
   8  -12425.2227167   0.105902
   9  -12425.2093386   0.119280
  10  -12425.1888716   0.139747
  11  -12425.1886792   0.139939
  12  -12425.1772127   0.151406
  13  -12425.144396   0.184222
  14  -12425.1276711   0.200947
  15  -12425.1264924   0.202126
  16  -12425.1132558   0.215362
  17  -12425.1109936   0.217625
  18  -12425.1045256   0.224093
  19  -12425.0578308   0.270787
  20  -12425.0511455   0.277473
  21  -12425.0505694   0.278049
  22  -12425.0481296   0.280489
  23  -12424.9682508   0.360367
  24  -12424.9669692   0.361649
  25  -12424.9469323   0.381686
  26  -12424.9466962   0.381922
