# Relative energy hierarchy for Ac-Hid-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -38164.2335855   0.000000
   2  -38164.2334801   0.000105
   3  -38164.2333915   0.000194
   4  -38164.2332037   0.000382
   5  -38164.2329476   0.000638
   6  -38164.2328575   0.000728
   7  -38164.232574   0.001011
   8  -38164.2324325   0.001153
   9  -38164.2320786   0.001507
  10  -38164.2320607   0.001525
  11  -38164.2320137   0.001572
  12  -38164.16079   0.072795
  13  -38164.160582   0.073004
  14  -38164.1604328   0.073153
  15  -38164.160242   0.073344
  16  -38164.1601437   0.073442
  17  -38164.16   0.073585
  18  -38164.1598503   0.073735
  19  -38164.159645   0.073940
  20  -38164.1592937   0.074292
  21  -38164.1587801   0.074805
  22  -38164.1348725   0.098713
  23  -38164.1347629   0.098823
  24  -38164.1343236   0.099262
  25  -38164.1338695   0.099716
  26  -38164.1338453   0.099740
  27  -38164.133686   0.099899
  28  -38164.1334471   0.100138
  29  -38164.1332029   0.100383
  30  -38164.132789   0.100796
  31  -38164.1324778   0.101108
  32  -38164.0593648   0.174221
  33  -38164.0589626   0.174623
  34  -38164.0584962   0.175089
  35  -38164.0583995   0.175186
  36  -38164.0577058   0.175880
  37  -38163.4981386   0.735447
  38  -38163.4974548   0.736131
  39  -38163.4408019   0.792784
  40  -38163.4406329   0.792953
  41  -38163.4404285   0.793157
  42  -38163.4401869   0.793399
  43  -38163.4399278   0.793658
  44  -38163.334435   0.899151
  45  -38163.3342233   0.899362
  46  -38163.3341507   0.899435
  47  -38163.3340658   0.899520
  48  -38163.3336253   0.899960
  49  -38163.297296   0.936290
  50  -38163.2971605   0.936425
  51  -38163.2969989   0.936587
  52  -38163.2968955   0.936690
  53  -38163.2967323   0.936853
  54  -38163.2895635   0.944022
  55  -38163.2894952   0.944090
  56  -38163.2894088   0.944177
  57  -38163.2892195   0.944366
  58  -38163.2320942   1.001491
  59  -38163.2320234   1.001562
  60  -38163.2318188   1.001767
  61  -38163.2316867   1.001899
  62  -38163.2315193   1.002066
  63  -38163.2313125   1.002273
  64  -38163.2311563   1.002429
  65  -38163.2006157   1.032970
  66  -38163.2005781   1.033007
  67  -38163.2004121   1.033173
  68  -38163.2003166   1.033269
  69  -38163.2002535   1.033332
  70  -38163.1998564   1.033729
  71  -38163.1995738   1.034012
  72  -38163.1993141   1.034271
  73  -38163.1989785   1.034607
  74  -38163.198761   1.034824
  75  -38163.1966076   1.036978
