# Relative energy hierarchy for Ac-Hisd-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -173737.703980   0.000000
   2  -173737.702815   0.001165
   3  -173737.702125   0.001855
   4  -173737.701674   0.002306
   5  -173737.701613   0.002367
   6  -173737.701168   0.002812
   7  -173737.622345   0.081635
   8  -173737.622087   0.081893
   9  -173737.621545   0.082435
  10  -173737.620390   0.083590
  11  -173737.619882   0.084098
  12  -173737.586594   0.117386
  13  -173737.586061   0.117919
  14  -173737.585661   0.118319
  15  -173737.585246   0.118734
  16  -173737.585008   0.118972
  17  -173737.583645   0.120335
  18  -173737.512673   0.191307
  19  -173737.512397   0.191583
  20  -173737.511839   0.192141
  21  -173737.052497   0.651483
  22  -173736.998674   0.705306
  23  -173736.998575   0.705405
  24  -173736.998011   0.705969
  25  -173736.979682   0.724298
  26  -173736.978983   0.724997
  27  -173736.971199   0.732781
  28  -173736.970716   0.733264
  29  -173736.970390   0.733590
  30  -173736.951233   0.752747
  31  -173736.950390   0.753590
  32  -173736.950085   0.753895
  33  -173736.941231   0.762749
  34  -173736.941017   0.762963
  35  -173736.940814   0.763166
  36  -173736.889586   0.814394
  37  -173736.889002   0.814978
  38  -173736.888773   0.815207
  39  -173736.879473   0.824507
  40  -173736.878667   0.825313
  41  -173736.878516   0.825464
  42  -173736.878234   0.825746
  43  -173736.871497   0.832483
  44  -173736.870912   0.833068
  45  -173736.870332   0.833648
  46  -173736.839308   0.864672
  47  -173736.839160   0.864820
  48  -173736.839010   0.864970
  49  -173736.816347   0.887633
  50  -173736.816072   0.887908
  51  -173736.772267   0.931713
  52  -173736.772126   0.931854
  53  -173736.771778   0.932202
  54  -173736.738493   0.965487
  55  -173736.738345   0.965635
  56  -173736.700134   1.003846
  57  -173736.690427   1.013553
  58  -173736.688419   1.015561
  59  -173736.680401   1.023579
  60  -173736.678714   1.025266
  61  -173736.678455   1.025525
  62  -173736.678194   1.025786
  63  -173736.677888   1.026092
  64  -173736.677576   1.026404
  65  -173736.677436   1.026544
  66  -173736.677297   1.026683
  67  -173736.670119   1.033861
  68  -173736.663871   1.040109
  69  -173736.663246   1.040734
  70  -173736.663110   1.040870
  71  -173736.660846   1.043134
  72  -173736.645143   1.058837
  73  -173736.644997   1.058983
  74  -173736.644820   1.059160
  75  -173736.641699   1.062281
  76  -173736.641486   1.062494
  77  -173736.641139   1.062841
  78  -173736.640843   1.063137
  79  -173736.628401   1.075579
  80  -173736.628342   1.075638
  81  -173736.628279   1.075701
  82  -173736.627984   1.075996
  83  -173736.627605   1.076375
  84  -173736.627355   1.076625
  85  -173736.625412   1.078568
  86  -173736.624524   1.079456
  87  -173736.624422   1.079558
  88  -173736.608256   1.095724
  89  -173736.607787   1.096193
  90  -173736.606675   1.097305
  91  -173736.605882   1.098098
  92  -173736.584692   1.119288
  93  -173736.584210   1.119770
  94  -173736.582792   1.121188
  95  -173736.554485   1.149495
  96  -173736.541267   1.162713
  97  -173736.513730   1.190250
  98  -173736.502399   1.201581
  99  -173736.501474   1.202506
 100  -173736.476361   1.227619
 101  -173736.448602   1.255378
 102  -173736.437733   1.266247
 103  -173736.425327   1.278653
 104  -173736.418851   1.285129
 105  -173736.418124   1.285856
 106  -173736.416373   1.287607
 107  -173736.415192   1.288788
 108  -173736.394843   1.309137
 109  -173736.393383   1.310597
 110  -173736.380614   1.323366
 111  -173736.374569   1.329411
 112  -173736.366713   1.337267
 113  -173736.339080   1.364900
 114  -173736.245873   1.458107
 115  -173736.243243   1.460737
 116  -173736.230219   1.473761
 117  -173736.221651   1.482329
 118  -173736.221242   1.482738
 119  -173736.154247   1.549733
 120  -173736.136701   1.567279
 121  -173736.128680   1.575300
 122  -173736.126873   1.577107
 123  -173736.125857   1.578123
 124  -173736.096247   1.607733
 125  -173736.064540   1.639440
 126  -173736.019526   1.684454
 127  -173735.980410   1.723570
 128  -173735.972481   1.731499
 129  -173735.958623   1.745357
 130  -173735.955371   1.748609
 131  -173735.944122   1.759858
 132  -173735.943681   1.760299
 133  -173735.938600   1.765380
 134  -173735.930522   1.773458
 135  -173735.917547   1.786433
 136  -173735.913928   1.790052
 137  -173735.858714   1.845266
 138  -173735.850422   1.853558
 139  -173735.779453   1.924527
 140  -173735.760490   1.943490
 141  -173735.751379   1.952601
 142  -173735.735098   1.968882
 143  -173735.699782   2.004198
 144  -173735.651393   2.052587
 145  -173735.646078   2.057902
 146  -173735.637342   2.066638
 147  -173735.637126   2.066854
 148  -173735.609454   2.094526
