# Relative energy hierarchy for Ac-Hisd-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -609762.3322157   0.000000
   2  -609762.3320946   0.000121
   3  -609762.3320097   0.000206
   4  -609762.3319220   0.000294
   5  -609762.3317629   0.000453
   6  -609762.3317434   0.000472
   7  -609762.3316736   0.000542
   8  -609762.3313596   0.000856
   9  -609762.3300934   0.002122
  10  -609762.3299854   0.002230
  11  -609762.3299622   0.002253
  12  -609762.2396448   0.092571
  13  -609762.2395995   0.092616
  14  -609762.2394282   0.092788
  15  -609762.2389332   0.093282
  16  -609762.2387875   0.093428
  17  -609762.2385915   0.093624
  18  -609762.2384113   0.093804
  19  -609762.2381686   0.094047
  20  -609762.2378021   0.094414
  21  -609762.2374948   0.094721
  22  -609762.2345632   0.097652
  23  -609762.2340993   0.098116
  24  -609762.2339928   0.098223
  25  -609762.2337828   0.098433
  26  -609762.2336278   0.098588
  27  -609762.2336135   0.098602
  28  -609762.2335218   0.098694
  29  -609762.2335216   0.098694
  30  -609762.2333601   0.098856
  31  -609762.2330818   0.099134
  32  -609762.1450015   0.187214
  33  -609762.1447295   0.187486
  34  -609762.1446681   0.187548
  35  -609762.1444110   0.187805
  36  -609762.1443229   0.187893
  37  -609761.6440867   0.688129
  38  -609761.6440411   0.688175
  39  -609761.6439029   0.688313
  40  -609761.6438287   0.688387
  41  -609761.6437871   0.688429
  42  -609761.6352370   0.696979
  43  -609761.6347257   0.697490
  44  -609761.6342473   0.697968
  45  -609761.6341727   0.698043
  46  -609761.6338717   0.698344
  47  -609761.6191120   0.713104
  48  -609761.6183933   0.713822
  49  -609761.6158034   0.716412
  50  -609761.6157921   0.716424
  51  -609761.6154966   0.716719
  52  -609761.6149635   0.717252
  53  -609761.6046306   0.727585
  54  -609761.6045074   0.727708
  55  -609761.6042828   0.727933
  56  -609761.6042109   0.728005
  57  -609761.6041947   0.728021
  58  -609761.5719828   0.760233
  59  -609761.5716936   0.760522
  60  -609761.5714670   0.760749
  61  -609761.5714494   0.760766
  62  -609761.5708104   0.761405
  63  -609761.5579131   0.774303
  64  -609761.5573798   0.774836
  65  -609761.5573022   0.774913
  66  -609761.5572399   0.774976
  67  -609761.5572096   0.775006
  68  -609761.5472012   0.785014
  69  -609761.5468903   0.785325
  70  -609761.5467834   0.785432
  71  -609761.5467561   0.785460
  72  -609761.5464851   0.785731
  73  -609761.5331502   0.799065
  74  -609761.5330884   0.799127
  75  -609761.5329275   0.799288
  76  -609761.5329031   0.799313
  77  -609761.5325585   0.799657
  78  -609761.5324700   0.799746
  79  -609761.5077723   0.824443
  80  -609761.5073931   0.824823
  81  -609761.5071184   0.825097
  82  -609761.5069599   0.825256
  83  -609761.5069363   0.825279
  84  -609761.4957980   0.836418
  85  -609761.4848043   0.847411
  86  -609761.4839444   0.848271
  87  -609761.4822832   0.849932
  88  -609761.4819154   0.850300
  89  -609761.4817390   0.850477
  90  -609761.4814624   0.850753
  91  -609761.4814078   0.850808
  92  -609761.4799677   0.852248
  93  -609761.4799125   0.852303
  94  -609761.4794906   0.852725
  95  -609761.4619658   0.870250
  96  -609761.4614754   0.870740
  97  -609761.4610440   0.871172
  98  -609761.4610149   0.871201
  99  -609761.4610097   0.871206
 100  -609761.4523672   0.879848
 101  -609761.4521598   0.880056
 102  -609761.4521443   0.880071
 103  -609761.4335547   0.898661
 104  -609761.4334267   0.898789
 105  -609761.4329890   0.899227
 106  -609761.4328734   0.899342
 107  -609761.4328166   0.899399
 108  -609761.4014761   0.930740
 109  -609761.4011392   0.931076
 110  -609761.4007367   0.931479
 111  -609761.4003969   0.931819
 112  -609761.4000751   0.932141
 113  -609761.3982951   0.933921
 114  -609761.3978827   0.934333
 115  -609761.3977548   0.934461
 116  -609761.3977150   0.934501
 117  -609761.3970164   0.935199
 118  -609761.3968999   0.935316
 119  -609761.3967473   0.935468
 120  -609761.3965440   0.935672
 121  -609761.3965097   0.935706
 122  -609761.3964796   0.935736
 123  -609761.3963476   0.935868
 124  -609761.3881077   0.944108
 125  -609761.3878869   0.944329
 126  -609761.3878792   0.944336
 127  -609761.3878478   0.944368
 128  -609761.3875554   0.944660
 129  -609761.3844159   0.947800
 130  -609761.3841458   0.948070
 131  -609761.3841156   0.948100
 132  -609761.3840868   0.948129
 133  -609761.3840521   0.948164
 134  -609761.3840494   0.948166
 135  -609761.3839345   0.948281
 136  -609761.3778869   0.954329
 137  -609761.3778417   0.954374
 138  -609761.3777302   0.954485
 139  -609761.3777263   0.954489
 140  -609761.3774467   0.954769
 141  -609761.3765955   0.955620
 142  -609761.3019499   1.030266
 143  -609761.3018504   1.030365
 144  -609761.2283792   1.103836
 145  -609761.2277705   1.104445
 146  -609761.2277601   1.104456
 147  -609761.2274434   1.104772
