# Relative energy hierarchy for Ac-Hisd-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -106809.914429   0.000000
   2  -106809.914348   0.000081
   3  -106809.914257   0.000172
   4  -106809.913747   0.000682
   5  -106809.913121   0.001308
   6  -106809.912887   0.001542
   7  -106809.838841   0.075588
   8  -106809.838735   0.075694
   9  -106809.838548   0.075881
  10  -106809.838463   0.075966
  11  -106809.838307   0.076122
  12  -106809.837989   0.076440
  13  -106809.837807   0.076622
  14  -106809.837562   0.076867
  15  -106809.817874   0.096555
  16  -106809.817158   0.097271
  17  -106809.816805   0.097624
  18  -106809.816530   0.097899
  19  -106809.815552   0.098877
  20  -106809.740753   0.173676
  21  -106809.740431   0.173998
  22  -106809.739818   0.174611
  23  -106809.278457   0.635972
  24  -106809.235997   0.678432
  25  -106809.235696   0.678733
  26  -106809.235464   0.678965
  27  -106809.084502   0.829927
  28  -106809.084160   0.830269
  29  -106809.083638   0.830791
  30  -106809.077515   0.836914
  31  -106809.077091   0.837338
  32  -106809.076905   0.837524
  33  -106809.058987   0.855442
  34  -106809.058412   0.856017
  35  -106809.009450   0.904979
  36  -106809.007923   0.906506
  37  -106809.007577   0.906852
  38  -106808.995719   0.918710
  39  -106808.995019   0.919410
  40  -106808.994850   0.919579
  41  -106808.994119   0.920310
  42  -106808.979930   0.934499
  43  -106808.979569   0.934860
  44  -106808.978985   0.935444
  45  -106808.966118   0.948311
  46  -106808.966065   0.948364
  47  -106808.965562   0.948867
  48  -106808.956849   0.957580
  49  -106808.956806   0.957623
  50  -106808.949073   0.965356
  51  -106808.942855   0.971574
  52  -106808.942657   0.971772
  53  -106808.942518   0.971911
  54  -106808.927576   0.986853
  55  -106808.927040   0.987389
  56  -106808.926741   0.987688
  57  -106808.926550   0.987879
  58  -106808.909215   1.005214
  59  -106808.908592   1.005837
  60  -106808.907051   1.007378
  61  -106808.906972   1.007457
  62  -106808.906940   1.007489
  63  -106808.906893   1.007536
  64  -106808.906825   1.007604
  65  -106808.906780   1.007649
  66  -106808.906525   1.007904
  67  -106808.906170   1.008259
  68  -106808.906097   1.008332
  69  -106808.902810   1.011619
  70  -106808.902737   1.011692
  71  -106808.902579   1.011850
  72  -106808.902536   1.011893
  73  -106808.901649   1.012780
  74  -106808.871848   1.042581
  75  -106808.871655   1.042774
  76  -106808.871318   1.043111
  77  -106808.853239   1.061190
  78  -106808.852980   1.061449
  79  -106808.842763   1.071666
  80  -106808.842613   1.071816
  81  -106808.842416   1.072013
  82  -106808.841793   1.072636
  83  -106808.841660   1.072769
  84  -106808.841579   1.072850
  85  -106808.809528   1.104901
  86  -106808.795502   1.118927
  87  -106808.776156   1.138273
  88  -106808.767751   1.146678
  89  -106808.766553   1.147876
  90  -106808.762411   1.152018
  91  -106808.761895   1.152534
  92  -106808.754353   1.160076
  93  -106808.744327   1.170102
  94  -106808.741188   1.173241
  95  -106808.727084   1.187345
  96  -106808.707021   1.207408
  97  -106808.678065   1.236364
  98  -106808.670344   1.244085
  99  -106808.664622   1.249807
 100  -106808.630370   1.284059
 101  -106808.612701   1.301728
 102  -106808.605119   1.309310
 103  -106808.588931   1.325498
 104  -106808.584653   1.329776
 105  -106808.578437   1.335992
 106  -106808.564615   1.349814
 107  -106808.559979   1.354450
 108  -106808.554167   1.360262
 109  -106808.493189   1.421240
 110  -106808.450705   1.463724
 111  -106808.436827   1.477602
 112  -106808.430035   1.484394
 113  -106808.415589   1.498840
 114  -106808.373992   1.540437
 115  -106808.362844   1.551585
 116  -106808.343877   1.570552
 117  -106808.320120   1.594309
 118  -106808.292652   1.621777
 119  -106808.292172   1.622257
 120  -106808.292069   1.622360
 121  -106808.291983   1.622446
 122  -106808.282433   1.631996
 123  -106808.271837   1.642592
 124  -106808.247026   1.667403
 125  -106808.226666   1.687763
 126  -106808.223100   1.691329
 127  -106808.222662   1.691767
 128  -106808.177856   1.736573
 129  -106808.166762   1.747667
 130  -106808.160258   1.754171
 131  -106808.116190   1.798239
 132  -106808.105223   1.809206
 133  -106808.097570   1.816859
 134  -106808.097152   1.817277
 135  -106808.006251   1.908178
 136  -106807.976628   1.937801
 137  -106807.942479   1.971950
 138  -106807.940181   1.974248
 139  -106807.922969   1.991460
 140  -106807.869159   2.045270
 141  -106807.852342   2.062087
 142  -106807.502865   2.411564
 143  -106807.342796   2.571633
 144  -106807.320708   2.593721
 145  -106807.170700   2.743729
 146  -106806.998651   2.915778
 147  -106806.712992   3.201437
 148  -106806.691322   3.223107
 149  -106806.680149   3.234280
