# Relative energy hierarchy for Hisd conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -240073.142420   0.000000
   2  -240073.049860   0.092560
   3  -240072.955184   0.187236
   4  -240072.913964   0.228456
   5  -240072.777918   0.364502
   6  -240072.726135   0.416285
   7  -240072.588863   0.553557
   8  -240072.559832   0.582588
   9  -240072.544394   0.598026
  10  -240072.525525   0.616895
  11  -240072.474760   0.667660
  12  -240072.454186   0.688234
  13  -240072.450896   0.691524
  14  -240072.415007   0.727413
  15  -240072.398737   0.743683
  16  -240072.374907   0.767513
  17  -240072.349935   0.792485
  18  -240072.306604   0.835816
  19  -240072.278066   0.864354
  20  -240072.203057   0.939363
  21  -240072.197878   0.944542
  22  -240072.184738   0.957682
  23  -240072.140360   1.002060
  24  -240072.124337   1.018083
  25  -240072.088988   1.053432
  26  -240072.072595   1.069825
  27  -240072.065587   1.076833
  28  -240072.053429   1.088991
  29  -240072.019374   1.123046
  30  -240071.974276   1.168144
  31  -240071.971182   1.171238
  32  -240071.956852   1.185568
  33  -240071.950876   1.191544
  34  -240071.935952   1.206468
  35  -240071.935214   1.207206
  36  -240071.897691   1.244729
  37  -240071.891575   1.250845
  38  -240071.871606   1.270814
  39  -240071.853903   1.288517
  40  -240071.829641   1.312779
  41  -240071.806386   1.336034
  42  -240071.736645   1.405775
  43  -240071.724481   1.417939
  44  -240071.724469   1.417951
  45  -240071.717005   1.425415
  46  -240071.714228   1.428192
  47  -240071.713813   1.428607
  48  -240071.697838   1.444582
  49  -240071.691382   1.451038
  50  -240071.662953   1.479467
  51  -240071.644787   1.497633
  52  -240071.595738   1.546682
  53  -240071.593097   1.549323
  54  -240071.564016   1.578404
  55  -240071.524474   1.617946
  56  -240071.519345   1.623075
  57  -240071.466932   1.675488
