# Relative energy hierarchy for Hid conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -33480.1270283   0.000000
   2  -33480.0250959   0.101932
   3  -33479.9126355   0.214393
   4  -33479.8643859   0.262642
   5  -33479.7274887   0.399540
   6  -33479.6646943   0.462334
   7  -33479.4347013   0.692327
   8  -33479.3861415   0.740887
   9  -33479.3626214   0.764407
  10  -33479.3445434   0.782485
  11  -33479.3075054   0.819523
  12  -33479.3045463   0.822482
  13  -33479.2753684   0.851660
  14  -33479.2615329   0.865495
  15  -33479.2605791   0.866449
  16  -33479.2019685   0.925060
  17  -33479.1851551   0.941873
  18  -33479.1700883   0.956940
  19  -33479.1419527   0.985076
  20  -33479.1405179   0.986510
  21  -33479.1334454   0.993583
  22  -33479.0949508   1.032078
  23  -33479.0876299   1.039398
  24  -33479.019666   1.107362
  25  -33479.008335   1.118693
  26  -33478.9406827   1.186346
  27  -33478.8778305   1.249198
  28  -33478.8637772   1.263251
  29  -33478.8589596   1.268069
  30  -33478.8159352   1.311093
  31  -33478.7545109   1.372517
  32  -33478.7337749   1.393253
  33  -33478.7268889   1.400139
  34  -33478.7261563   1.400872
  35  -33478.6820342   1.444994
  36  -33478.6681312   1.458897
  37  -33478.6677683   1.459260
  38  -33478.6644233   1.462605
  39  -33478.6593272   1.467701
  40  -33478.653284   1.473744
  41  -33478.6529793   1.474049
  42  -33478.633356   1.493672
  43  -33478.6251104   1.501918
  44  -33478.6219131   1.505115
  45  -33478.5926086   1.534420
  46  -33478.5233811   1.603647
  47  -33478.4893027   1.637726
  48  -33478.4839039   1.643124
  49  -33478.4313434   1.695685
  50  -33478.429177   1.697851
  51  -33478.4261593   1.700869
  52  -33478.3969626   1.730066
  53  -33478.2434326   1.883596
  54  -33478.1977428   1.929285
  55  -33478.1242932   2.002735
  56  -33478.0792893   2.047739
  57  -33478.0368952   2.090133
  58  -33477.9780983   2.148930
