# Relative energy hierarchy for Hisd conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -169053.9363473   0.000000
   2  -169053.9357797   0.000568
   3  -169053.7090005   0.227347
   4  -169053.6681790   0.268168
   5  -169053.6129824   0.323365
   6  -169053.6129550   0.323392
   7  -169053.5586692   0.377678
   8  -169053.2061086   0.730239
   9  -169053.1924219   0.743925
  10  -169053.1815460   0.754801
  11  -169053.1708293   0.765518
  12  -169053.1126894   0.823658
  13  -169053.0657030   0.870644
  14  -169053.0653249   0.871022
  15  -169053.0591496   0.877198
  16  -169053.0302057   0.906142
  17  -169053.0241555   0.912192
  18  -169052.9778003   0.958547
  19  -169052.9777932   0.958554
  20  -169052.9635214   0.972826
  21  -169052.9634998   0.972848
  22  -169052.9560155   0.980332
  23  -169052.9558364   0.980511
  24  -169052.9448809   0.991466
  25  -169052.9052716   1.031076
  26  -169052.8642717   1.072076
  27  -169052.8639771   1.072370
  28  -169052.8140171   1.122330
  29  -169052.8042416   1.132106
  30  -169052.8002262   1.136121
  31  -169052.7935470   1.142800
  32  -169052.7634327   1.172915
  33  -169052.7324699   1.203877
  34  -169052.6773348   1.259012
  35  -169052.6771921   1.259155
  36  -169052.6768875   1.259460
  37  -169052.6733775   1.262970
  38  -169052.6608953   1.275452
  39  -169052.6538336   1.282514
  40  -169052.6537210   1.282626
  41  -169052.6281775   1.308170
  42  -169052.6136863   1.322661
  43  -169052.5668184   1.369529
  44  -169052.5573375   1.379010
  45  -169052.5324404   1.403907
  46  -169052.4680834   1.468264
  47  -169052.4602298   1.476118
  48  -169052.3245275   1.611820
