# Relative energy hierarchy for Hisd conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -605078.480132   0.000000
   2  -605078.459477   0.020655
   3  -605078.361452   0.118680
   4  -605078.233670   0.246462
   5  -605078.196429   0.283703
   6  -605078.160831   0.319301
   7  -605077.830350   0.649782
   8  -605077.799994   0.680138
   9  -605077.746085   0.734047
  10  -605077.726860   0.753272
  11  -605077.701888   0.778244
  12  -605077.688605   0.791527
  13  -605077.682746   0.797386
  14  -605077.655032   0.825100
  15  -605077.652360   0.827772
  16  -605077.643553   0.836579
  17  -605077.637979   0.842153
  18  -605077.624985   0.855147
  19  -605077.611339   0.868793
  20  -605077.609159   0.870973
  21  -605077.600617   0.879515
  22  -605077.590913   0.889219
  23  -605077.586885   0.893247
  24  -605077.564090   0.916042
  25  -605077.551235   0.928897
  26  -605077.548054   0.932078
  27  -605077.546044   0.934088
  28  -605077.502397   0.977735
  29  -605077.467273   1.012859
  30  -605077.446145   1.033987
  31  -605077.364553   1.115579
  32  -605077.347972   1.132160
  33  -605077.336338   1.143794
  34  -605077.323665   1.156467
  35  -605077.300093   1.180039
  36  -605077.281681   1.198451
  37  -605077.263143   1.216989
  38  -605077.262121   1.218011
  39  -605077.259529   1.220603
  40  -605077.257996   1.222136
  41  -605077.232945   1.247187
  42  -605077.198972   1.281160
  43  -605077.137267   1.342865
  44  -605077.126132   1.354000
  45  -605077.121615   1.358517
  46  -605077.118286   1.361846
  47  -605077.107704   1.372428
  48  -605077.099809   1.380323
  49  -605077.080936   1.399196
  50  -605077.050813   1.429319
  51  -605077.028027   1.452105
  52  -605077.026693   1.453439
  53  -605076.971255   1.508877
  54  -605076.961583   1.518549
