# Relative energy hierarchy for Hisd conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -102125.951751   0.000000
   2  -102125.858168   0.093583
   3  -102125.752059   0.199692
   4  -102125.681062   0.270689
   5  -102125.569934   0.381817
   6  -102125.511570   0.440181
   7  -102125.304862   0.646889
   8  -102125.267818   0.683933
   9  -102125.256901   0.694850
  10  -102125.243716   0.708035
  11  -102125.184274   0.767477
  12  -102125.158493   0.793258
  13  -102125.155588   0.796163
  14  -102125.148265   0.803486
  15  -102125.134295   0.817456
  16  -102125.122180   0.829571
  17  -102125.086275   0.865476
  18  -102125.043601   0.908150
  19  -102125.015190   0.936561
  20  -102124.950611   1.001140
  21  -102124.948525   1.003226
  22  -102124.935666   1.016085
  23  -102124.894496   1.057255
  24  -102124.881681   1.070070
  25  -102124.807755   1.143996
  26  -102124.803890   1.147861
  27  -102124.730304   1.221447
  28  -102124.697862   1.253889
  29  -102124.687704   1.264047
  30  -102124.667194   1.284557
  31  -102124.658557   1.293194
  32  -102124.651513   1.300238
  33  -102124.634547   1.317204
  34  -102124.624525   1.327226
  35  -102124.559062   1.392689
  36  -102124.530383   1.421368
  37  -102124.520569   1.431182
  38  -102124.516462   1.435289
  39  -102124.474817   1.476934
  40  -102124.473941   1.477810
  41  -102124.463554   1.488197
  42  -102124.460849   1.490902
  43  -102124.458027   1.493724
  44  -102124.457110   1.494641
  45  -102124.443045   1.508706
  46  -102124.427738   1.524013
  47  -102124.419328   1.532423
  48  -102124.407529   1.544222
  49  -102124.392251   1.559500
  50  -102124.368553   1.583198
  51  -102124.351741   1.600010
  52  -102124.305983   1.645768
  53  -102124.139715   1.812036
  54  -102124.120184   1.831567
  55  -102124.106224   1.845527
  56  -102124.063806   1.887945
  57  -102124.004928   1.946823
