# Relative energy hierarchy for Hid conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -14935.9603465   0.000000
   2  -14935.8930509   0.067296
   3  -14935.8265995   0.133747
   4  -14935.8152411   0.145105
   5  -14935.8013283   0.159018
   6  -14935.7846873   0.175659
   7  -14935.7837176   0.176629
   8  -14935.7635009   0.196846
   9  -14935.757394   0.202952
  10  -14935.7442424   0.216104
  11  -14935.7416059   0.218741
  12  -14935.7388402   0.221506
  13  -14935.7358247   0.224522
  14  -14935.7335103   0.226836
  15  -14935.7333211   0.227025
  16  -14935.7321177   0.228229
  17  -14935.719395   0.240951
  18  -14935.7135089   0.246838
  19  -14935.7086288   0.251718
  20  -14935.7051826   0.255164
  21  -14935.7001653   0.260181
  22  -14935.6944086   0.265938
  23  -14935.6880162   0.272330
  24  -14935.6863189   0.274028
  25  -14935.6714785   0.288868
  26  -14935.6665618   0.293785
  27  -14935.6652973   0.295049
  28  -14935.6620786   0.298268
  29  -14935.6591403   0.301206
  30  -14935.6550029   0.305344
  31  -14935.6545954   0.305751
  32  -14935.6515795   0.308767
  33  -14935.645495   0.314851
  34  -14935.6451198   0.315227
  35  -14935.6345618   0.325785
  36  -14935.633838   0.326509
  37  -14935.6334239   0.326923
  38  -14935.6304149   0.329932
  39  -14935.6166253   0.343721
  40  -14935.6153404   0.345006
  41  -14935.6075989   0.352748
  42  -14935.606367   0.353979
  43  -14935.6006054   0.359741
  44  -14935.5967559   0.363591
  45  -14935.5945287   0.365818
  46  -14935.5924638   0.367883
  47  -14935.5884829   0.371864
  48  -14935.5822932   0.378053
  49  -14935.578501   0.381846
  50  -14935.5758784   0.384468
  51  -14935.575871   0.384476
  52  -14935.5606794   0.399667
  53  -14935.5563357   0.404011
  54  -14935.5420608   0.418286
  55  -14935.5278391   0.432507
  56  -14935.5276342   0.432712
  57  -14935.515616   0.444730
