# Relative energy hierarchy for Ac-His-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -38164.9737078   0.000000
   2  -38164.9724062   0.001302
   3  -38164.9370956   0.036612
   4  -38164.8656647   0.108043
   5  -38164.8569528   0.116755
   6  -38164.2635427   0.710165
   7  -38164.2560963   0.717612
   8  -38164.2503025   0.723405
   9  -38164.2488291   0.724879
  10  -38164.2398545   0.733853
  11  -38164.1839021   0.789806
  12  -38164.1770336   0.796674
  13  -38164.1732006   0.800507
  14  -38164.1568796   0.816828
  15  -38164.0396411   0.934067
  16  -38164.0030252   0.970683
  17  -38163.9929672   0.980741
  18  -38163.9731406   1.000567
  19  -38163.9280106   1.045697
  20  -38163.9143121   1.059396
  21  -38163.8924598   1.081248
  22  -38163.8731712   1.100537
  23  -38163.8502498   1.123458
  24  -38163.8467341   1.126974
  25  -38163.8446939   1.129014
  26  -38163.8269135   1.146794
  27  -38163.7996362   1.174072
  28  -38163.7957831   1.177925
  29  -38163.7893605   1.184347
  30  -38163.7860058   1.187702
  31  -38163.7682393   1.205469
  32  -38163.7588182   1.214890
  33  -38163.7522127   1.221495
  34  -38163.7507777   1.222930
  35  -38163.7338924   1.239815
  36  -38163.6909541   1.282754
  37  -38163.672547   1.301161
  38  -38163.6649842   1.308724
  39  -38163.6557358   1.317972
  40  -38163.6464467   1.327261
  41  -38163.6029144   1.370793
  42  -38163.6026528   1.371055
  43  -38163.5804624   1.393245
  44  -38163.57625   1.397458
  45  -38163.5668486   1.406859
  46  -38163.5652402   1.408468
  47  -38163.5252416   1.448466
  48  -38163.5120915   1.461616
  49  -38163.5112458   1.462462
  50  -38163.4991532   1.474555
  51  -38163.4606158   1.513092
  52  -38163.4497367   1.523971
  53  -38163.3974427   1.576265
  54  -38163.3911109   1.582597
  55  -38163.3079803   1.665728
