# Relative energy hierarchy for Ac-His-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -173738.766472   0.000000
   2  -173738.715678   0.050794
   3  -173738.647078   0.119394
   4  -173738.619662   0.146810
   5  -173738.05796   0.708512
   6  -173738.043149   0.723323
   7  -173738.026242   0.740230
   8  -173738.011381   0.755091
   9  -173737.976526   0.789946
  10  -173737.974209   0.792263
  11  -173737.932884   0.833588
  12  -173737.909236   0.857236
  13  -173737.881612   0.884860
  14  -173737.857608   0.908864
  15  -173737.853414   0.913058
  16  -173737.852531   0.913941
  17  -173737.808958   0.957514
  18  -173737.792516   0.973956
  19  -173737.762157   1.004315
  20  -173737.746352   1.020120
  21  -173737.712485   1.053987
  22  -173737.673018   1.093454
  23  -173737.631277   1.135195
  24  -173737.59953   1.166942
  25  -173737.575179   1.191293
  26  -173737.571284   1.195188
  27  -173737.507097   1.259375
  28  -173737.484253   1.282219
  29  -173737.483343   1.283129
  30  -173737.456079   1.310393
  31  -173737.454599   1.311873
  32  -173737.396898   1.369574
  33  -173737.33661   1.429862
  34  -173737.32651   1.439962
  35  -173737.311015   1.455457
  36  -173737.280793   1.485679
  37  -173737.256458   1.510014
  38  -173737.251017   1.515455
  39  -173737.234029   1.532443
  40  -173737.226802   1.539670
  41  -173737.216002   1.550470
  42  -173737.20426   1.562212
  43  -173737.176458   1.590014
  44  -173737.16062   1.605852
  45  -173737.152374   1.614098
  46  -173737.116868   1.649604
  47  -173737.064604   1.701868
  48  -173737.003583   1.762889
  49  -173736.947374   1.819098
  50  -173736.775412   1.991060
