# Relative energy hierarchy for Ac-His-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -573017.220837   0.000000
   2  -573017.101469   0.119368
   3  -573017.042256   0.178581
   4  -573016.978741   0.242096
   5  -573016.942962   0.277875
   6  -573016.87478   0.346057
   7  -573016.869774   0.351063
   8  -573016.80121   0.419627
   9  -573016.691965   0.528872
  10  -573016.672727   0.548110
  11  -573016.641458   0.579379
  12  -573016.594882   0.625955
  13  -573016.578154   0.642683
  14  -573016.543755   0.677082
  15  -573016.514609   0.706228
  16  -573016.496892   0.723945
  17  -573016.496685   0.724152
  18  -573016.443682   0.777155
  19  -573016.41014   0.810697
  20  -573016.395203   0.825634
  21  -573016.253377   0.967460
  22  -573016.221143   0.999694
  23  -573016.201767   1.019070
  24  -573016.197562   1.023275
  25  -573016.144185   1.076652
  26  -573016.14216   1.078677
  27  -573016.096635   1.124202
  28  -573015.997911   1.222926
  29  -573015.99646   1.224377
  30  -573015.994115   1.226722
  31  -573015.95468   1.266157
  32  -573015.941116   1.279721
  33  -573015.9248   1.296037
  34  -573015.911658   1.309179
  35  -573015.908877   1.311960
  36  -573015.901353   1.319484
  37  -573015.857771   1.363066
  38  -573015.840036   1.380801
  39  -573015.826045   1.394792
  40  -573015.821545   1.399292
  41  -573015.773118   1.447719
  42  -573015.771729   1.449108
  43  -573015.697776   1.523061
  44  -573015.655964   1.564873
  45  -573015.536792   1.684045
